h,id,label,fuel_class,OutputPower
2016-11-30T13:00:00Z,2010,2010-High Demand,Demand,61152
2016-11-30T13:00:00Z,2012,2012-Lost Load,Demand,58283
2016-11-30T14:00:00Z,1996,1996-Median Demand,Demand,54225
2016-11-30T14:00:00Z,2000,2000-Low Demand,Demand,50264
2016-11-30T14:00:00Z,2001,2001-Low Demand,Demand,49633
2016-11-30T14:00:00Z,2008,2008-High Demand,Demand,58687
2016-11-30T14:00:00Z,2010,2010-High Demand,Demand,61330
2016-11-30T14:00:00Z,2012,2012-Lost Load,Demand,58019
2016-11-30T15:00:00Z,1996,1996-Median Demand,Demand,54609
2016-11-30T15:00:00Z,2000,2000-Low Demand,Demand,50583
2016-11-30T15:00:00Z,2001,2001-Low Demand,Demand,49762
2016-11-30T15:00:00Z,2008,2008-High Demand,Demand,58777
2016-11-30T15:00:00Z,2010,2010-High Demand,Demand,61880
2016-11-30T15:00:00Z,2012,2012-Lost Load,Demand,58389
2016-11-30T16:00:00Z,1996,1996-Median Demand,Demand,56098
2016-11-30T16:00:00Z,2000,2000-Low Demand,Demand,51952
2016-11-30T16:00:00Z,2001,2001-Low Demand,Demand,50927
2016-11-30T16:00:00Z,2008,2008-High Demand,Demand,60203
2016-11-30T16:00:00Z,2010,2010-High Demand,Demand,63642
2016-11-30T16:00:00Z,2012,2012-Lost Load,Demand,60427
2016-11-30T17:00:00Z,1996,1996-Median Demand,Demand,60948
2016-11-30T17:00:00Z,2000,2000-Low Demand,Demand,56606
2016-11-30T17:00:00Z,2001,2001-Low Demand,Demand,55420
2016-11-30T17:00:00Z,2008,2008-High Demand,Demand,64881
2016-11-30T17:00:00Z,2010,2010-High Demand,Demand,68654
2016-11-30T17:00:00Z,2012,2012-Lost Load,Demand,65799
2016-11-30T18:00:00Z,1996,1996-Median Demand,Demand,61900
2016-11-30T18:00:00Z,2000,2000-Low Demand,Demand,57488
2016-11-30T18:00:00Z,2001,2001-Low Demand,Demand,56138
2016-11-30T18:00:00Z,2008,2008-High Demand,Demand,65606
2016-11-30T18:00:00Z,2010,2010-High Demand,Demand,69647
2016-11-30T18:00:00Z,2012,2012-Lost Load,Demand,66893
2016-11-30T19:00:00Z,1996,1996-Median Demand,Demand,60760
2016-11-30T19:00:00Z,2000,2000-Low Demand,Demand,56445
2016-11-30T19:00:00Z,2001,2001-Low Demand,Demand,54841
2016-11-30T19:00:00Z,2008,2008-High Demand,Demand,64367
2016-11-30T19:00:00Z,2010,2010-High Demand,Demand,68571
2016-11-30T19:00:00Z,2012,2012-Lost Load,Demand,65969
2016-11-30T20:00:00Z,1996,1996-Median Demand,Demand,58380
2016-11-30T20:00:00Z,2000,2000-Low Demand,Demand,54278
2016-11-30T20:00:00Z,2001,2001-Low Demand,Demand,52343
2016-11-30T20:00:00Z,2008,2008-High Demand,Demand,61931
2016-11-30T20:00:00Z,2010,2010-High Demand,Demand,66279
2016-11-30T20:00:00Z,2012,2012-Lost Load,Demand,63780
2016-11-30T21:00:00Z,1996,1996-Median Demand,Demand,54950
2016-11-30T21:00:00Z,2000,2000-Low Demand,Demand,51083
2016-11-30T21:00:00Z,2001,2001-Low Demand,Demand,48822
2016-11-30T21:00:00Z,2008,2008-High Demand,Demand,58389
2016-11-30T21:00:00Z,2010,2010-High Demand,Demand,62907
2016-11-30T21:00:00Z,2012,2012-Lost Load,Demand,60462
2016-11-30T22:00:00Z,1996,1996-Median Demand,Demand,50077
2016-11-30T22:00:00Z,2000,2000-Low Demand,Demand,46430
2016-11-30T22:00:00Z,2001,2001-Low Demand,Demand,43854
2016-11-30T22:00:00Z,2008,2008-High Demand,Demand,53350
2016-11-30T22:00:00Z,2010,2010-High Demand,Demand,58063
2016-11-30T22:00:00Z,2012,2012-Lost Load,Demand,55643
2016-11-30T23:00:00Z,1996,1996-Median Demand,Demand,44897
2016-11-30T23:00:00Z,2000,2000-Low Demand,Demand,41484
2016-11-30T23:00:00Z,2001,2001-Low Demand,Demand,38617
2016-11-30T23:00:00Z,2008,2008-High Demand,Demand,48003
2016-11-30T23:00:00Z,2010,2010-High Demand,Demand,52662
2016-11-30T23:00:00Z,2012,2012-Lost Load,Demand,50454
2016-11-30T00:00:00Z,1996,1996-Median Demand,Fossil fuels,18437.988604032013
2016-11-30T00:00:00Z,2000,2000-Low Demand,Fossil fuels,9182.227213036216
2016-11-30T00:00:00Z,2001,2001-Low Demand,Fossil fuels,18699.94390637823
2016-11-30T00:00:00Z,2008,2008-High Demand,Fossil fuels,26989.975620447865
2016-11-30T00:00:00Z,2010,2010-High Demand,Fossil fuels,24348.775913116897
2016-11-30T00:00:00Z,2012,2012-Lost Load,Fossil fuels,27050.128124438725
2016-11-30T01:00:00Z,1996,1996-Median Demand,Fossil fuels,16131.911723658726
2016-11-30T01:00:00Z,2000,2000-Low Demand,Fossil fuels,9182.227213036216
2016-11-30T01:00:00Z,2001,2001-Low Demand,Fossil fuels,17119.949731133587
2016-11-30T01:00:00Z,2008,2008-High Demand,Fossil fuels,23400.746024736916
2016-11-30T01:00:00Z,2010,2010-High Demand,Fossil fuels,25585.276621664205
2016-11-30T01:00:00Z,2012,2012-Lost Load,Fossil fuels,26027.93396290995
2016-11-30T02:00:00Z,1996,1996-Median Demand,Fossil fuels,14351.311132454728
2016-11-30T02:00:00Z,2000,2000-Low Demand,Fossil fuels,9707.944376243038
2016-11-30T02:00:00Z,2001,2001-Low Demand,Fossil fuels,16213.501245581589
2016-11-30T02:00:00Z,2008,2008-High Demand,Fossil fuels,22850.663897312184
2016-11-30T02:00:00Z,2010,2010-High Demand,Fossil fuels,25123.692181252205
2016-11-30T02:00:00Z,2012,2012-Lost Load,Fossil fuels,25555.71263242368
2016-11-30T03:00:00Z,1996,1996-Median Demand,Fossil fuels,11974.595354578727
2016-11-30T03:00:00Z,2000,2000-Low Demand,Fossil fuels,9182.227213036216
2016-11-30T03:00:00Z,2001,2001-Low Demand,Fossil fuels,14410.179439705587
