year,region,scenario,avg,min,max,min_s,max_s
1980,CEE,RCP45,8.344841922911243,7.259789583427612,9.354370777276054,7.469973739923009,9.563843056582815
1980,CEE,RCP85,8.284867849763732,7.161945362046926,9.213159651159836,7.41776411910325,9.543725904714705
1980,CWE,RCP45,8.96753603845764,8.034113775470587,10.124642117604175,8.532652969647824,10.151261383027181
1980,CWE,RCP85,8.943324846657044,8.01224518117468,10.091545382865862,8.468968263697592,10.119626133864061
1980,Iberia,RCP45,13.585885054806784,13.263035900479757,13.990755792316259,13.030995161543553,14.208734988632026
1980,Iberia,RCP85,13.52795804801482,13.232750778547183,13.966930697956577,12.97058833140414,14.161436653615464
1980,Italy,RCP45,11.66758708694465,11.194314321345416,12.804478215659856,11.303953549333972,12.584024098632671
1980,Italy,RCP85,11.627437912527668,11.325789427649909,12.719570396559163,11.253769018383505,12.553645090540325
1980,Northern,RCP45,2.665522661467174,1.4093411654946149,4.168591774191817,1.6987919899588415,3.8263558410647636
1980,Northern,RCP85,2.610543358400299,1.1599875590717315,4.114717763058032,1.625550670663367,3.804051067377186
1980,SEE,RCP45,11.05132442739437,10.702456350922851,11.75669254103253,10.415772194969188,12.1238948034157
1980,SEE,RCP85,10.986612166443717,10.554159952023962,11.660556587550177,10.315368958146713,12.088369414328797
1980,UK & Ireland,RCP45,8.887296839436857,8.229387212162159,9.48304379869567,8.338449353574797,9.5742969718996
1980,UK & Ireland,RCP85,8.865401283404607,8.224513735018315,9.496181658729697,8.290283436800486,9.557543199055223
1981,CEE,RCP45,8.557895042152134,7.547672727226224,9.511360463493173,7.463092128750869,9.56808397731536
1981,CEE,RCP85,8.522181553936175,7.55507465369491,9.506840772735092,7.41147016484703,9.546989701634585
1981,CWE,RCP45,9.341795846934131,8.605468352517292,10.248541625172168,8.542699559892164,10.166433173942767
1981,CWE,RCP85,9.291731029507414,8.535461786889227,10.209657736893472,8.479694665350094,10.137583217814301
1981,Iberia,RCP45,13.680753652792326,13.045057286204353,14.668406893507022,13.042709089843003,14.21625331009829
1981,Iberia,RCP85,13.608982422649657,12.951798713159295,14.630708265431112,12.978921961118198,14.173066849900385
1981,Italy,RCP45,11.979953868515132,11.562245214467623,12.481969676427127,11.324320575924856,12.618254675951212
1981,Italy,RCP85,11.916213297567715,11.526037941687264,12.481489169579618,11.277059453654752,12.58201800340562
1981,Northern,RCP45,3.1874569848580476,2.0027950688608107,5.037130900155199,1.690008243067109,3.834597327351466
1981,Northern,RCP85,3.152343008418823,1.8246486562978617,4.98809192356537,1.6191718300122735,3.809297418852287
1981,SEE,RCP45,11.211592574779136,10.708704608166656,11.770356645208045,10.441306613997341,12.150815850497546
1981,SEE,RCP85,11.13775310480207,10.518940425247747,11.565502401255209,10.340272989274618,12.11170273324108
1981,UK & Ireland,RCP45,8.959551485369479,8.089045426388328,9.815680124606898,8.345514242628209,9.591821635918476
1981,UK & Ireland,RCP85,8.934386102241932,8.021260337892972,9.861896600013194,8.297801467307075,9.574805028881965
1982,CEE,RCP45,9.225636804990764,8.584120491878677,9.83591911076122,7.450073157929926,9.659513487034939
