week,Location,id,level
1,UK & Ireland,1991,0.016559466622990314
1,UK & Ireland,1997,0.01810198713812143
1,UK & Ireland,2000,0.021274113459758093
1,UK & Ireland,2002,0.019647331089154705
1,UK & Ireland,2006,0.01794008576804535
1,UK & Ireland,2008,0.012679220487794117
1,CEE,1991,0.6369154500499623
1,CEE,1997,0.6481667340614151
1,CEE,2000,0.6644976243638407
1,CEE,2002,0.6594062955667048
1,CEE,2006,0.7103512920016171
1,CEE,2008,0.6184238451625594
1,CWE,1991,4.481195272293499
1,CWE,1997,4.359434556380972
1,CWE,2000,4.432125714931278
1,CWE,2002,4.455541645860976
1,CWE,2006,4.3091438369889
1,CWE,2008,4.333347256349891
1,Iberia,1991,9.527748907816099
1,Iberia,1997,9.940798217254525
1,Iberia,2000,9.32394277517588
1,Iberia,2002,9.332371434259251
1,Iberia,2006,9.391213767591132
1,Iberia,2008,9.238206344333191
1,Italy,1991,1.5849235095638692
1,Italy,1997,1.6042939706194892
1,Italy,2000,1.55996690011007
1,Italy,2002,1.5894536279300637
1,Italy,2006,1.5687282457244338
1,Italy,2008,1.5919688937460161
1,Northern,1991,46.92974760439312
1,Northern,1997,46.15445112521362
1,Northern,2000,47.904329838275324
1,Northern,2002,47.25972417008117
1,Northern,2006,46.647123215561244
1,Northern,2008,47.360735744003904
1,SEE,1991,3.846036857043783
1,SEE,1997,3.862623914687355
1,SEE,2000,3.8531461630796384
1,SEE,2002,3.8345070982406892
1,SEE,2006,3.947623196895697
1,SEE,2008,3.797068261011401
2,UK & Ireland,1991,0.01230226965836084
2,UK & Ireland,1997,0.010949478257161565
2,UK & Ireland,2000,0.01553388973045817
2,UK & Ireland,2002,0.004261775363033347
2,UK & Ireland,2006,0.013353673697979225
2,UK & Ireland,2008,0.009944371925649804
2,CEE,1991,0.44304576489493563
2,CEE,1997,0.4748438104580736
2,CEE,2000,0.48285989498236703
2,CEE,2002,0.4580033126528628
2,CEE,2006,0.5495573945231856
2,CEE,2008,0.45116509594434817
2,CWE,1991,3.7981407914073677
2,CWE,1997,3.1198819459356417
2,CWE,2000,3.382565203904806
2,CWE,2002,3.291728396347395
2,CWE,2006,3.2891759961948734
2,CWE,2008,3.426097638174771
2,Iberia,1991,9.92206484558577
2,Iberia,1997,10.789452329045433
2,Iberia,2000,8.989910848271364
2,Iberia,2002,8.808906721651844
2,Iberia,2006,8.993313268368661
2,Iberia,2008,9.004272220157045
2,Italy,1991,1.5398991461785094
2,Italy,1997,1.5915270499857752
2,Italy,2000,1.479735756868807
2,Italy,2002,1.585857340370196
2,Italy,2006,1.5119240388158899
2,Italy,2008,1.5849172091024322
2,Northern,1991,42.09775377997469
2,Northern,1997,40.66714380605156
2,Northern,2000,44.9698813656563
2,Northern,2002,46.04181211802904
2,Northern,2006,42.14309087265981
2,Northern,2008,43.09370711308451
2,SEE,1991,3.8240065085111064
2,SEE,1997,3.859397343247554
2,SEE,2000,3.7714140384236017
2,SEE,2002,3.703522529823016
2,SEE,2006,3.8728542700544213
2,SEE,2008,3.715391667384268
3,UK & Ireland,1991,0.014415612230387813
3,UK & Ireland,1997,0.017405852334950234
3,UK & Ireland,2000,0.014117797123300512
3,UK & Ireland,2002,0.006655725912182129
3,UK & Ireland,2006,0.01623587491283726
3,UK & Ireland,2008,0.01123650527422107
3,CEE,1991,0.3809359918771842
3,CEE,1997,0.3362717730939123
3,CEE,2000,0.3408812595685577
3,CEE,2002,0.31064587734253024
3,CEE,2006,0.40550461821994077
3,CEE,2008,0.34084316123112424
3,CWE,1991,3.5526020363744144
3,CWE,1997,2.3184425531410255
3,CWE,2000,2.7467913001935576
3,CWE,2002,2.278026299918091
3,CWE,2006,2.934822827110402
3,CWE,2008,3.1754433362858006
3,Iberia,1991,9.961525529792338
3,Iberia,1997,11.740272142760864
3,Iberia,2000,8.992177369554241
3,Iberia,2002,8.452201861690321
3,Iberia,2006,8.836094462103695
3,Iberia,2008,9.285757630758113
3,Italy,1991,1.5082899339116835
3,Italy,1997,1.5734394565290604
3,Italy,2000,1.3981659763304912
3,Italy,2002,1.537475855158083
3,Italy,2006,1.4514403570166408
3,Italy,2008,1.610285517244814
3,Northern,1991,38.00940546511469
3,Northern,1997,36.03836179042651
3,Northern,2000,42.00959804776068
3,Northern,2002,45.13043601562456
3,Northern,2006,38.081728850130816
3,Northern,2008,39.853783051893075
3,SEE,1991,3.9423385342716135
3,SEE,1997,3.9999433143653502
3,SEE,2000,3.8466887003464216
3,SEE,2002,3.7383610702347356
3,SEE,2006,3.9230925548065425
3,SEE,2008,3.844767414163894
4,UK & Ireland,1991,0.014837065208009483
4,UK & Ireland,1997,0.01389981248647398
