region,max,min
Europe,0.2898242322383725,0.33533218596308945
UK & Ireland,0.12679732462867413,0.16981672960608313
CEE,0.16143439395352524,0.19029633533317247
CWE,0.23443231466765865,0.265916964471952
Iberia,0.34810232475021985,0.4959145845835014
Italy,0.340807163665458,0.4006677534147413
Northern,0.5737089360428815,0.7662634175263694
SEE,0.2293045181645844,0.30372318585769353
