h,id,label,fuel_class,OutputPower
2016-11-28T00:00:00Z,1996,1996-Low Demand,Demand,27963
2016-11-28T00:00:00Z,1998,1998-Median Demand,Demand,29134
2016-11-28T00:00:00Z,2000,2000-Low Demand,Demand,27424
2016-11-28T00:00:00Z,2008,2008-High Demand,Demand,32631
2016-11-28T00:00:00Z,2010,2010-High Demand,Demand,31796
2016-11-28T00:00:00Z,2014,2014-Shed Load,Demand,27689
2016-11-28T01:00:00Z,1996,1996-Low Demand,Demand,26048
2016-11-28T01:00:00Z,1998,1998-Median Demand,Demand,26926
2016-11-28T01:00:00Z,2000,2000-Low Demand,Demand,25535
2016-11-28T01:00:00Z,2008,2008-High Demand,Demand,29350
2016-11-28T01:00:00Z,2010,2010-High Demand,Demand,28851
2016-11-28T01:00:00Z,2014,2014-Shed Load,Demand,25785
2016-11-28T02:00:00Z,1996,1996-Low Demand,Demand,24501
2016-11-28T02:00:00Z,1998,1998-Median Demand,Demand,25385
2016-11-28T02:00:00Z,2000,2000-Low Demand,Demand,23920
2016-11-28T02:00:00Z,2008,2008-High Demand,Demand,27854
2016-11-28T02:00:00Z,2010,2010-High Demand,Demand,27410
2016-11-28T02:00:00Z,2014,2014-Shed Load,Demand,24202
2016-11-28T03:00:00Z,1996,1996-Low Demand,Demand,23650
2016-11-28T03:00:00Z,1998,1998-Median Demand,Demand,24552
2016-11-28T03:00:00Z,2000,2000-Low Demand,Demand,23030
2016-11-28T03:00:00Z,2008,2008-High Demand,Demand,27064
2016-11-28T03:00:00Z,2010,2010-High Demand,Demand,26665
2016-11-28T03:00:00Z,2014,2014-Shed Load,Demand,23327
2016-11-28T04:00:00Z,1996,1996-Low Demand,Demand,23350
2016-11-28T04:00:00Z,1998,1998-Median Demand,Demand,24294
2016-11-28T04:00:00Z,2000,2000-Low Demand,Demand,22706
2016-11-28T04:00:00Z,2008,2008-High Demand,Demand,26815
2016-11-28T04:00:00Z,2010,2010-High Demand,Demand,26441
2016-11-28T04:00:00Z,2014,2014-Shed Load,Demand,22995
2016-11-28T05:00:00Z,1996,1996-Low Demand,Demand,23226
2016-11-28T05:00:00Z,1998,1998-Median Demand,Demand,24238
2016-11-28T05:00:00Z,2000,2000-Low Demand,Demand,22572
2016-11-28T05:00:00Z,2008,2008-High Demand,Demand,26742
2016-11-28T05:00:00Z,2010,2010-High Demand,Demand,26384
2016-11-28T05:00:00Z,2014,2014-Shed Load,Demand,22845
2016-11-28T06:00:00Z,1996,1996-Low Demand,Demand,23805
2016-11-28T06:00:00Z,1998,1998-Median Demand,Demand,24893
2016-11-28T06:00:00Z,2000,2000-Low Demand,Demand,23161
2016-11-28T06:00:00Z,2008,2008-High Demand,Demand,27365
2016-11-28T06:00:00Z,2010,2010-High Demand,Demand,27012
2016-11-28T06:00:00Z,2014,2014-Shed Load,Demand,23407
2016-11-28T07:00:00Z,1996,1996-Low Demand,Demand,25373
2016-11-28T07:00:00Z,1998,1998-Median Demand,Demand,26491
2016-11-28T07:00:00Z,2000,2000-Low Demand,Demand,24740
2016-11-28T07:00:00Z,2008,2008-High Demand,Demand,28935
2016-11-28T07:00:00Z,2010,2010-High Demand,Demand,28603
2016-11-28T07:00:00Z,2014,2014-Shed Load,Demand,24939
2016-11-28T08:00:00Z,1996,1996-Low Demand,Demand,26845
2016-11-28T08:00:00Z,1998,1998-Median Demand,Demand,27956
2016-11-28T08:00:00Z,2000,2000-Low Demand,Demand,26239
2016-11-28T08:00:00Z,2008,2008-High Demand,Demand,30348
2016-11-28T08:00:00Z,2010,2010-High Demand,Demand,30057
2016-11-28T08:00:00Z,2014,2014-Shed Load,Demand,26392
2016-11-28T09:00:00Z,1996,1996-Low Demand,Demand,29560
2016-11-28T09:00:00Z,1998,1998-Median Demand,Demand,30518
2016-11-28T09:00:00Z,2000,2000-Low Demand,Demand,29028
2016-11-28T09:00:00Z,2008,2008-High Demand,Demand,32652
2016-11-28T09:00:00Z,2010,2010-High Demand,Demand,32482
2016-11-28T09:00:00Z,2014,2014-Shed Load,Demand,29214
2016-11-28T10:00:00Z,1996,1996-Low Demand,Demand,31390
2016-11-28T10:00:00Z,1998,1998-Median Demand,Demand,32117
2016-11-28T10:00:00Z,2000,2000-Low Demand,Demand,30953
2016-11-28T10:00:00Z,2008,2008-High Demand,Demand,33978
