region,Technology,storage
UK & Ireland,HPHS,27484.8637
CEE,HDAM,3682403.0459
CEE,HPHS,20318.6572
CWE,HDAM,16925419.9317
CWE,HPHS,463907.1718
Iberia,HDAM,26593247.034500003
Iberia,HPHS,57775.8492
Italy,HDAM,8858449.4319
Italy,HPHS,34487.9854
Northern,HDAM,119062587.4819
Northern,HPHS,595523.9843
SEE,HDAM,9246760.12465
SEE,HPHS,22917.3658
