Location,id,OutputPower,FuelCost,cost_per_mwh
UK & Ireland,1990,368341811.96637523,7994583122.4400835,21.704250950391383
UK & Ireland,1991,378948771.4124133,8708134512.328024,22.979714328855508
UK & Ireland,1992,373752484.6905705,8322545483.595827,22.267532189079784
UK & Ireland,1993,375288113.6241913,8472368544.021535,22.57563785381611
UK & Ireland,1994,370621688.59866655,8111443422.1214285,21.886046261326683
UK & Ireland,1995,369144474.7474033,8165647591.571027,22.12046542795631
UK & Ireland,1996,383878141.79971147,8807017531.627583,22.942221951836597
UK & Ireland,1997,370222944.87939155,8399712852.433374,22.68825573512136
UK & Ireland,1998,370788172.309931,8166604961.859163,22.02498777397068
UK & Ireland,1999,367279492.9771897,8042274387.33231,21.89687837494315
UK & Ireland,2000,369191284.33792347,8171711237.702255,22.134084915782108
UK & Ireland,2001,373467699.7864124,8530916479.42513,22.842447912641422
UK & Ireland,2002,364233838.2661236,8053317428.328752,22.110294492860053
UK & Ireland,2003,374230765.62266123,8515187482.075455,22.753841384225908
UK & Ireland,2004,369517043.27468884,8256959850.002624,22.345274731657305
UK & Ireland,2005,371258964.2078725,8313871604.808949,22.39372622974272
UK & Ireland,2006,369477897.4733919,8269646528.69037,22.381978963399053
UK & Ireland,2007,366668786.9345601,8154484769.208236,22.23937531574941
UK & Ireland,2008,370812223.87358534,8182620533.0221405,22.06674970836911
UK & Ireland,2009,371134424.6157407,8299282642.748535,22.36193166759272
UK & Ireland,2010,382567799.6980488,9033022189.126286,23.611559039354134
UK & Ireland,2011,367599282.6130829,8140658799.808022,22.145469767895285
UK & Ireland,2012,376102536.4567853,8575740451.569285,22.80160227676276
UK & Ireland,2013,379243601.5971953,8620185581.052666,22.729943352369048
UK & Ireland,2014,363017894.8186331,8028433833.277018,22.11580736891247
UK & Ireland,2015,371191200.03742975,8162219230.863438,21.98925844696853
CEE,1990,366272683.71719486,6948689177.445549,18.971355185227917
CEE,1991,370578206.05934507,7110195055.388589,19.186759877211855
CEE,1992,366743714.99802953,6948603369.776603,18.94675514702123
CEE,1993,367101177.9994041,6909505677.319818,18.82180197561511
CEE,1994,367098961.46043336,6880511843.760657,18.74293464734373
CEE,1995,370371578.9054443,6901591115.6895275,18.634235208019295
CEE,1996,375997857.61899304,7142810822.049774,18.99694553389648
CEE,1997,372335800.61361957,6948526282.608887,18.66198810632103
CEE,1998,370268541.3180055,6788368216.898784,18.333634806605367
CEE,1999,367014684.51597524,6697915841.818185,18.249721671631484
