region,id,demand,shed,total_annual_load,ratio
UK & Ireland,1990,366670.109,185.6552580733241,3095208.956,5.9981494210087215e-5
UK & Ireland,1991,375898.055,176.46754748314535,3147157.142,5.607204836648267e-5
UK & Ireland,1992,373292.262,209.77527211990684,3125715.106,6.711272940941753e-5
UK & Ireland,1993,376831.762,180.53001601760087,3138441.369,5.752218849801966e-5
UK & Ireland,1994,371904.445,191.81894128986403,3294655.100270984,5.8221250920646285e-5
UK & Ireland,1995,369865.52,163.65264271228995,3300138.399270984,4.958963016473539e-5
UK & Ireland,1996,380876.402,208.92083234867349,3157147.407,6.617392393065208e-5
UK & Ireland,1997,369194.821,163.93717784554966,3116839.154,5.259725309699111e-5
UK & Ireland,1998,369746.075,193.99486777198283,3125013.9159999997,6.207808124588935e-5
UK & Ireland,1999,368253.41,161.7799354410647,3112038.975,5.1985189369636574e-5
UK & Ireland,2000,370048.354,202.00011842450112,3274326.110270984,6.169211972835031e-5
UK & Ireland,2001,373953.612,195.66501516787446,3304044.406270984,5.921985031330321e-5
UK & Ireland,2002,366745.754,207.79661385190334,3097712.768,6.708065899410831e-5
UK & Ireland,2003,369009.504,163.80434298036567,3133530.198,5.22746974274941e-5
UK & Ireland,2004,368456.226,198.5325271293296,3300029.281270984,6.01608380434934e-5
UK & Ireland,2005,368923.426,187.72928994637684,3125170.219,6.0070100759646604e-5
UK & Ireland,2006,367289.464,123.61253965380855,3290521.256270984,3.756624863560179e-5
UK & Ireland,2007,365332.543,196.3866817112538,3089045.501,6.357519876210259e-5
UK & Ireland,2008,370516.276,171.9559836270794,3284224.341270984,5.235817220711938e-5
UK & Ireland,2009,369989.383,155.11844286410562,3118746.438,4.97374332757813e-5
UK & Ireland,2010,380412.976,179.6596634200042,3345379.5942709837,5.37038199574345e-5
UK & Ireland,2011,366257.306,152.55974507828975,3269367.607270984,4.66633806302482e-5
UK & Ireland,2012,373380.361,180.9751460097686,3128811.167,5.784150476019079e-5
UK & Ireland,2013,377057.723,179.73301562140483,3319411.1482709837,5.4146054102103094e-5
UK & Ireland,2014,363389.783,164.30063549688035,3245673.183270984,5.0621435437100434e-5
UK & Ireland,2015,368955.271,152.920244425184,3096894.409,4.9378578740294404e-5
CEE,1990,351680.899,39.72967931575722,3095208.956,1.2835863387750296e-5
CEE,1991,353871.981,30.387417159984036,3147157.142,9.6555131469136e-6
CEE,1992,354217.536,55.15802034751104,3125715.106,1.7646528386938356e-5
CEE,1993,353783.593,50.06142343718946,3138441.369,1.5951046252344203e-5
CEE,1994,353344.904,75.02707692493412,3294655.100270984,2.2772361488995667e-5
CEE,1995,354036.974,45.22344224247418,3300138.399270984,1.3703498693407601e-5
CEE,1996,354535.861,47.28929033173015,3157147.407,1.4978486663904493e-5
CEE,1997,354328.923,57.0518960549048,3116839.154,1.830440816353554e-5
CEE,1998,353345.74,44.39218644977921,3125013.9159999997,1.4205436405416382e-5
CEE,1999,352635.61,27.71249889382474,3112038.975,8.904933105416759e-6
CEE,2000,351254.842,44.11278831424687,3274326.110270984,1.3472325855348625e-5
CEE,2001,353091.665,44.35124153515901,3304044.406270984,1.3423318842501509e-5
CEE,2002,352377.889,46.648950470799576,3097712.768,1.5059159439407255e-5
CEE,2003,354460.679,62.66101730696433,3133530.198,1.9996940622100344e-5
CEE,2004,352740.201,39.51251261199079,3300029.281270984,1.1973382429131906e-5
CEE,2005,353357.193,45.48908294549219,3125170.219,1.4555713691668259e-5
CEE,2006,352440.296,46.75143836026135,3290521.256270984,1.420791258259273e-5
CEE,2007,352194.061,50.92054224280687,3089045.501,1.648423185295349e-5
CEE,2008,351782.418,37.989698895456534,3284224.341270984,1.1567327608550225e-5
CEE,2009,352396.581,33.31719174116647,3118746.438,1.0682879292531465e-5
CEE,2010,353586.45,32.017966251949545,3345379.5942709837,9.570802161518778e-6
CEE,2011,352783.385,48.59613831141866,3269367.607270984,1.4864078974582786e-5
CEE,2012,353081.196,59.11321357276372,3128811.167,1.889318671457034e-5
CEE,2013,353260.941,42.39443787922777,3319411.1482709837,1.2771674247497243e-5
CEE,2014,350086.776,39.37639435815286,3245673.183270984,1.2131965276451338e-5
CEE,2015,352355.682,51.951786962889756,3096894.409,1.677544665775841e-5
CWE,1990,1339359.285,143.31674221150678,3095208.956,4.630276800333308e-5
CWE,1991,1366680.877,240.84847422569072,3147157.142,7.652890000676385e-5
CWE,1992,1352906.713,8.171097621801996,3125715.106,2.6141530320908254e-6
CWE,1993,1355685.203,427.9985897652427,3138441.369,1.363729760870491e-4
CWE,1994,1338731.641,13.298683616746853,3294655.100270984,4.036441816217134e-6
CWE,1995,1351104.209,24.942634519737425,3300138.399270984,7.558057118224911e-6
CWE,1996,1368824.974,29.80917515871142,3157147.407,9.44180657913494e-6
CWE,1997,1346876.307,136.69931269302174,3116839.154,4.3858314766608495e-5
CWE,1998,1351791.626,568.5383679708899,3125013.9159999997,1.8193146758802784e-4
CWE,1999,1344949.969,15.142490715607087,3112038.975,4.865777979405636e-6
CWE,2000,1337672.209,20.337333971827736,3274326.110270984,6.211151023727632e-6
CWE,2001,1349894.082,30.196647078972674,3304044.406270984,9.139298195163564e-6
CWE,2002,1335363.989,9.310145004271696,3097712.768,3.005490083021053e-6
