model,source,region,capacity,total,share,source_label
GECO 1.5,hydro,UK & Ireland,3502.8465576171875,254147.52734375,0.01378272924481132,Hydro-power
GECO 1.5,hydro,CEE,17357.972915649414,277140.755859375,0.06263233591113206,Hydro-power
GECO 1.5,hydro,CWE,67090.74435424805,926577.2216796875,0.07240707280999936,Hydro-power
GECO 1.5,hydro,Iberia,33297.072265625,185092.2734375,0.17989444749495934,Hydro-power
GECO 1.5,hydro,Italy,20419.81640625,150645.625,0.13554868524226973,Hydro-power
GECO 1.5,hydro,Northern,52373.019468307495,150031.2646484375,0.34908070388549467,Hydro-power
GECO 1.5,hydro,SEE,22389.626708984375,113292.759765625,0.19762628040223432,Hydro-power
GECO 1.5,solar,UK & Ireland,95290.137939453125,254147.52734375,0.37494025196856395,Solar power
GECO 1.5,solar,CEE,104568.7939453125,277140.755859375,0.3773129420141011,Solar power
GECO 1.5,solar,CWE,436074.85546875,926577.2216796875,0.47062980317845393,Solar power
GECO 1.5,solar,Iberia,64031.7451171875,185092.2734375,0.345944992343557,Solar power
GECO 1.5,solar,Italy,73617.1171875,150645.625,0.48867743213584863,Solar power
GECO 1.5,solar,Northern,20390.353004455566,150031.2646484375,0.13590735939096094,Solar power
GECO 1.5,solar,SEE,50768.4033203125,113292.759765625,0.4481169266715711,Solar power
GECO 1.5,wind,UK & Ireland,67880.0361328125,254147.52734375,0.26708910703270633,Wind power
GECO 1.5,wind,CEE,93642.5185546875,277140.755859375,0.3378879380779455,Wind power
GECO 1.5,wind,CWE,217212.68896484375,926577.2216796875,0.23442480980817046,Wind power
GECO 1.5,wind,Iberia,43580.240234375,185092.2734375,0.23545142876582967,Wind power
GECO 1.5,wind,Italy,27874.400390625,150645.625,0.18503292339638142,Wind power
GECO 1.5,wind,Northern,42158.73910522461,150031.2646484375,0.28099969165769256,Wind power
GECO 1.5,wind,SEE,21498.73876953125,113292.759765625,0.18976268928400086,Wind power
GECO 2.0,hydro,UK & Ireland,3497.271484375,237480.99609375,0.014726531983192405,Hydro-power
GECO 2.0,hydro,CEE,17076.601654052734,266551.978515625,0.06406480923213902,Hydro-power
GECO 2.0,hydro,CWE,68222.64374542236,921573.71875,0.07402841721436879,Hydro-power
GECO 2.0,hydro,Iberia,32579.1396484375,178518.55078125,0.18249722231029517,Hydro-power
GECO 2.0,hydro,Italy,20381.86328125,137626.703125,0.1480952665322375,Hydro-power
GECO 2.0,hydro,Northern,54775.989703178406,158183.94775390625,0.34628033046940915,Hydro-power
GECO 2.0,hydro,SEE,21494.2412109375,125481.564453125,0.17129401681126558,Hydro-power
GECO 2.0,solar,UK & Ireland,111723.47436523438,237480.99609375,0.4704522728257779,Solar power
GECO 2.0,solar,CEE,92182.3828125,266551.978515625,0.3458326714580975,Solar power
GECO 2.0,solar,CWE,450632.92041015625,921573.71875,0.4889819568871644,Solar power
GECO 2.0,solar,Iberia,63788.74072265625,178518.55078125,0.3573227568983607,Solar power
GECO 2.0,solar,Italy,63739.61328125,137626.703125,0.46313405635647786,Solar power
GECO 2.0,solar,Northern,14750.097980082035,158183.94775390625,0.09324649049111743,Solar power
GECO 2.0,solar,SEE,58012.7080078125,125481.564453125,0.4623205668549325,Solar power
GECO 2.0,wind,UK & Ireland,53390.7783203125,237480.99609375,0.22482126653719908,Wind power
GECO 2.0,wind,CEE,94259.15380859375,266551.978515625,0.3536239135552632,Wind power
GECO 2.0,wind,CWE,207670.42626953125,921573.71875,0.22534326016936587,Wind power
GECO 2.0,wind,Iberia,41353.1171875,178518.55078125,0.231646050264953,Wind power
GECO 2.0,wind,Italy,23355.580078125,137626.703125,0.16970238731151033,Wind power
GECO 2.0,wind,Northern,51304.04382324219,158183.94775390625,0.32433154281279003,Wind power
GECO 2.0,wind,SEE,24640.93505859375,125481.564453125,0.19637095828366596,Wind power
Current,hydro,UK & Ireland,5108,106314.304,0.04804621586950331,Hydro-power
Current,solar,UK & Ireland,9063,106314.304,0.08524723070190066,Solar power
Current,wind,UK & Ireland,16988.013,106314.304,0.15979047372590616,Wind power
Current,hydro,CEE,15295.92180312787,96797.80180312788,0.15801930951115467,Hydro-power
Current,solar,CEE,4182,96797.80180312788,0.0432034604309048,Solar power
Current,wind,CEE,9043,96797.80180312788,0.0934215429642927,Wind power
Current,hydro,CWE,68049.76875,397356.85175000003,0.17125605976165226,Hydro-power
Current,solar,CWE,51581,397356.85175000003,0.12981026946643054,Solar power
Current,wind,CWE,63302,397356.85175000003,0.15930768456920158,Wind power
Current,hydro,Iberia,27015.99999999999,118241.99999999999,0.2284805737386038,Hydro-power
Current,solar,Iberia,6929,118241.99999999999,0.05860015899595745,Solar power
Current,wind,Iberia,27818,118241.99999999999,0.235263273625277,Wind power
Current,hydro,Italy,22298.00000000001,99874.00000000001,0.22326130924965465,Hydro-power
Current,solar,Italy,18920,99874.00000000001,0.1894386927528686,Solar power
Current,wind,Italy,9416,99874.00000000001,0.09427879127700901,Wind power
Current,hydro,Northern,55549.5014559503,105843.1304559503,0.5248285950789111,Hydro-power
Current,solar,Northern,921,105843.1304559503,0.008701556690854878,Solar power
Current,wind,Northern,13952,105843.1304559503,0.13181771873051817,Wind power
Current,hydro,SEE,18027.507620041746,51016.47262004174,0.3533664068526695,Hydro-power
Current,solar,SEE,3531,51016.47262004174,0.06921293885404481,Solar power
Current,wind,SEE,3100,51016.47262004174,0.06076468718423644,Wind power
Current,hydro,Europe,211344.69962911992,975444.56062912,0.216665003998599,Hydro-power
Current,solar,Europe,95127,975444.56062912,0.09752168789443776,Solar power
Current,wind,Europe,143619.013,975444.56062912,0.1472344188452616,Wind power
GECO 1.5,hydro,Europe,216431.09867668152,2056927.427734375,0.10522058083258284,Hydro-power
GECO 1.5,solar,Europe,844741.4059829712,2056927.427734375,0.4106811910780055,Solar power
GECO 1.5,wind,Europe,513847.3621520996,2056927.427734375,0.2498130732390896,Wind power
GECO 2.0,hydro,Europe,218027.7507276535,2025417.4594726562,0.10764583355789767,Hydro-power
GECO 2.0,solar,Europe,854829.9375796914,2025417.4594726562,0.42205123372554393,Solar power
GECO 2.0,wind,Europe,495974.03454589844,2025417.4594726562,0.2448749674919025,Wind power
