region,ntc,peak_demand,factor
UK & Ireland,3016,71951,0.041917416019235314
CEE,12054,54722.30769230769,0.22027579808543837
CWE,18306,234681.88461538462,0.07800346426398157
Iberia,3500,53374.42307692308,0.06557447927738365
Italy,9633,58129.192307692305,0.16571707979374856
Northern,4461,71325.23076923077,0.06254448743998241
SEE,5200,32763.722331384615,0.1587121251793445
