region,variable,factor
UK & Ireland,COMC,0.5641339244763798
CEE,COMC,0.1525504340768005
CWE,COMC,0.2717856419180662
Iberia,COMC,0.5729523287947627
Italy,COMC,0.6130310535087957
Northern,COMC,0.07774247542136346
SEE,COMC,0.26455367970448357
UK & Ireland,HDAM,0
CEE,HDAM,0.2520675400938083
CWE,HDAM,0.10618424334306681
Iberia,HDAM,0.2401045971156729
Italy,HDAM,0.07545457593441893
Northern,HDAM,0.7613452229584267
SEE,HDAM,0.3390311026816904
UK & Ireland,HPHS,0.04219538296896499
CEE,HPHS,0.08547515116267092
CWE,HPHS,0.1122299365848821
Iberia,HPHS,0.16088230101568382
Italy,HPHS,0.1257027615543362
Northern,HPHS,0.04572730461355388
SEE,HPHS,0.11576362743493206
UK & Ireland,ntc,0.056232713930313684
CEE,ntc,0.4123914168037224
CWE,ntc,0.24473377693437384
Iberia,ntc,0.2023441074844981
Italy,ntc,0.16571707979374856
Northern,ntc,0.4757135523301712
SEE,ntc,0.7381631108756234
UK & Ireland,VRE,0.39086340704090283
CEE,VRE,0.3476478787183795
CWE,VRE,0.5848658339923607
Iberia,VRE,0.7561778343283706
Italy,VRE,0.6699024173411697
Northern,VRE,0.2983572308783397
SEE,VRE,0.31965058472424607
UK & Ireland,zzz,0.5641339244763798
CEE,zzz,0.1525504340768005
CWE,zzz,0.2717856419180662
Iberia,zzz,0.5729523287947627
Italy,zzz,0.6130310535087957
Northern,zzz,0.07774247542136346
SEE,zzz,0.26455367970448357
