region,year,avg,clim,deviation,perc_deviation,type_deviation,sign_deviation
UK & Ireland,1990,975.0953706365673,1183.2217528061472,-208.12638216957987,-17.589803574518818,XLm,-1
CEE,1990,18.36994703196347,25.687487009908704,-7.317539977945234,-28.486788042452588,XLm,-1
CWE,1990,85.848129543379,95.62761974722964,-9.779490203850642,-10.226637690763976,Lm,-1
Iberia,1990,44.284896757990865,54.244305822795745,-9.95940906480488,-18.36028485153831,XLm,-1
Italy,1990,117.06216812785388,128.64357601685273,-11.581407888998854,-9.002709849640413,Mm,-1
Northern,1990,1193.7709913546423,1379.9689123673272,-186.1979210126849,-13.492906930291904,Lm,-1
SEE,1990,10.366113296803652,13.889463384111512,-3.5233500873078594,-25.36707135380265,XLm,-1
UK & Ireland,1991,930.9195576152458,1183.2217528061472,-252.30219519090133,-21.323322918340327,XLm,-1
CEE,1991,20.365036347031964,25.687487009908704,-5.32245066287674,-20.720013058590183,XLm,-1
CWE,1991,87.77740385844749,95.62761974722964,-7.850215888782159,-8.209151194531934,Mm,-1
Iberia,1991,56.13105365296804,54.244305822795745,1.8867478301722969,3.4782412670850436,Sp,1
Italy,1991,129.2409589041096,128.64357601685273,0.5973828872568561,0.4643705544834955,Sp,1
Northern,1991,1130.0290120700151,1379.9689123673272,-249.93990029731208,-18.111994991868468,XLm,-1
SEE,1991,11.733652529680365,13.889463384111512,-2.155810854431147,-15.52119613848603,XLm,-1
UK & Ireland,1992,1016.2050631343941,1183.2217528061472,-167.01668967175306,-14.115417441883034,Lm,-1
CEE,1992,18.27809622040073,25.687487009908704,-7.409390789507974,-28.844358292618782,XLm,-1
CWE,1992,94.81815878870674,95.62761974722964,-0.8094609585229051,-0.846471930037091,Sm,-1
Iberia,1992,38.64940924408015,54.244305822795745,-15.594896578715598,-28.749370725953625,XLm,-1
Italy,1992,139.34896229508198,128.64357601685273,10.705386278229241,8.321741830953767,Mp,1
Northern,1992,1440.285747191864,1379.9689123673272,60.31683482453673,4.370883596287949,Sp,1
SEE,1992,10.39175941712204,13.889463384111512,-3.497703966989471,-25.182426925078893,XLm,-1
UK & Ireland,1993,1013.6740757872844,1183.2217528061472,-169.54767701886271,-14.329323866533116,Lm,-1
CEE,1993,19.887559497716893,25.687487009908704,-5.799927512191811,-22.578804652843402,XLm,-1
CWE,1993,93.95776461187215,95.62761974722964,-1.6698551353574942,-1.7462058971784356,Sm,-1
Iberia,1993,48.14365150684932,54.244305822795745,-6.100654315946429,-11.246626209718544,Lm,-1
Italy,1993,130.8829507762557,128.64357601685273,2.2393747594029776,1.7407591025840359,Sp,1
Northern,1993,1507.4744788736682,1379.9689123673272,127.50556650634098,9.239741950969465,Mp,1
SEE,1993,10.50622796347032,13.889463384111512,-3.383235420641192,-24.358287480791777,XLm,-1
UK & Ireland,1994,1168.3834497689525,1183.2217528061472,-14.838303037194692,-1.2540593512588778,Sm,-1
CEE,1994,21.859309726027398,25.687487009908704,-3.828177283881306,-14.902887473596087,Lm,-1
CWE,1994,103.084374543379,95.62761974722964,7.4567547961493545,7.797699886141293,Mp,1
Iberia,1994,50.259551278538815,54.244305822795745,-3.98475454425693,-7.3459407099323,Mm,-1
Italy,1994,139.0826307762557,128.64357601685273,10.439054759402978,8.114711268625982,Mp,1
Northern,1994,1256.1892253576864,1379.9689123673272,-123.77968700964084,-8.969744600789422,Mm,-1
SEE,1994,12.000900858447489,13.889463384111512,-1.8885625256640228,-13.597087759519885,Lm,-1
UK & Ireland,1995,1069.3905330824255,1183.2217528061472,-113.83121972372169,-9.620446839635749,Mm,-1
CEE,1995,25.874612557077626,25.687487009908704,0.1871255471689217,0.72846965176757,Sp,1
CWE,1995,97.48323116438357,95.62761974722964,1.8556114171539235,1.9404555107183676,Sp,1
Iberia,1995,46.6535201826484,54.244305822795745,-7.590785640147345,-13.99370039860917,Lm,-1
Italy,1995,124.8184889497717,128.64357601685273,-3.8250870670810286,-2.9733992053982776,Sm,-1
Northern,1995,1400.518464109589,1379.9689123673272,20.549551742261883,1.4891314984052262,Sp,1
SEE,1995,13.517726264840183,13.889463384111512,-0.37173711927132835,-2.6763965532071405,Sm,-1
