yday,id,demand,ws,net,price,season
1,1990,50268.34615384613,81404.171099572,-24298.06753535273,37.02692226201407,Nov-Feb
1,1991,-18908.653846153873,194358.807176268,-76276.9388170155,37.00522188386829,Nov-Feb
1,1992,-75626.65384615387,224080.717974656,-63532.68585921413,37.00522188386829,Nov-Feb
1,1993,82359.34615384613,99613.580090204,-8855.986388998987,37.00522188386829,Nov-Feb
1,1994,68346.34615384613,81174.444571592,-74459.84883838508,37.005221883868295,Nov-Feb
1,1995,89105.34615384613,218466.22945404402,-84074.29568862477,36.78965595058992,Nov-Feb
1,1996,54172.34615384613,99518.229896772,-74049.55509396904,37.00522188386829,Nov-Feb
1,1997,93864.34615384613,114755.71391448,25515.757555253625,37.00522188386829,Nov-Feb
1,1998,-20957.653846153873,201250.638119952,-76896.53385006858,37.00522188386829,Nov-Feb
1,1999,-70308.65384615387,202296.716087496,-64374.71611533791,37.00522188386829,Nov-Feb
1,2000,-34041.65384615387,86480.707697948,-77068.57916375488,37.00522188386829,Nov-Feb
1,2001,-55254.65384615387,191221.083815472,-80519.13595304375,37.00522188386829,Nov-Feb
1,2002,89441.34615384613,57673.121180668,-80513.69957902348,37.00522188386829,Nov-Feb
1,2003,-53840.65384615387,116812.797164952,-80043.104336522,37.00522188386829,Nov-Feb
1,2004,19271.346153846127,169617.3793583,-64306.78946132674,36.8974389172291,Nov-Feb
1,2005,-60621.65384615387,187332.76983264,-70758.06827832414,37.00522188386829,Nov-Feb
1,2006,-12267.653846153873,81740.637909496,-82208.92650465504,37.00522188386829,Nov-Feb
1,2007,-52534.65384615387,225040.250147416,-84093.18327000606,37.00522188386829,Nov-Feb
1,2008,-49509.65384615387,44421.436609292,-34790.99851981499,37.005221883868295,Nov-Feb
1,2009,91532.34615384613,20708.890465492,-15313.146295550709,37.005221883868295,Nov-Feb
1,2010,93107.34615384613,90468.60702188,-61228.44752677538,36.897438917229096,Nov-Feb
1,2011,57881.34615384613,68790.085738416,-52893.174587239555,37.00522188386829,Nov-Feb
1,2012,-103565.65384615387,202264.001745928,-81622.73543144173,37.00522188386829,Nov-Feb
1,2013,-7834.653846153873,171508.520188816,-83078.17578012952,37.00522188386829,Nov-Feb
1,2014,-74282.65384615387,198598.643873868,-77606.20271442896,37.00522188386829,Nov-Feb
1,2015,-99794.65384615387,221714.078807724,-34089.44256485453,36.78965595058991,Nov-Feb
2,1990,-9838.5,76870.945615132,20991.574997471565,39.20971785566911,Nov-Feb
2,1991,-101511.5,238053.06911040802,-69645.9165025194,37.00522188386829,Nov-Feb
2,1992,-97894.5,240596.098910564,-25477.498320587332,39.47169336944638,Nov-Feb
2,1993,117988.5,95432.96251872799,12398.685647548205,65.42201077759859,Nov-Feb
2,1994,-33286.5,184619.033882932,-56799.021723325655,37.00522188386829,Nov-Feb
2,1995,114273.5,137412.495545836,-36168.264257401504,37.00522188386829,Nov-Feb
2,1996,44463.5,46962.20400642,-24885.237086403762,44.40425915896782,Nov-Feb
2,1997,147535.5,38758.926289208,22441.68189269803,61.23941909069756,Nov-Feb
2,1998,-72368.5,184178.679163704,-81599.14933789695,37.00522188386829,Nov-Feb
2,1999,-60377.5,228760.007693996,-7027.227215423751,37.00522188386829,Nov-Feb
2,2000,-65125.5,114390.209896896,-26444.01417744704,41.48315907706243,Nov-Feb
2,2001,-79443.5,153372.257803344,-65822.87667937242,37.00522188386829,Nov-Feb
2,2002,102308.5,142623.705187012,-7912.498562734407,44.22894180033119,Nov-Feb
2,2003,-65516.5,103464.965691088,-64321.24212365702,37.00522188386829,Nov-Feb
2,2004,55730.5,65657.426480916,-14675.451543059396,41.61462497762669,Nov-Feb
2,2005,-7578.5,231305.02187962,-46129.03240717013,37.900837086394134,Nov-Feb
2,2006,697.5,35084.344422816,-23888.187002617397,47.05481667393239,Nov-Feb
2,2007,-57665.5,183465.335706104,-25536.329085678706,37.00522188386829,Nov-Feb
2,2008,20945.5,181602.333087804,18241.25132838005,37.00522188386829,Nov-Feb
2,2009,79304.5,55089.366131052,23334.172565477904,37.00522188386829,Nov-Feb
2,2010,86141.5,96899.82894742,13856.78870434219,37.00522188386829,Nov-Feb
2,2011,94964.5,38321.319117868,-1334.154417603786,49.39110356214147,Nov-Feb
2,2012,-16077.5,194150.219240616,-27181.205495732163,44.6729160586592,Nov-Feb
2,2013,-62863.5,125642.263767048,-28421.205286406064,58.184420309768285,Nov-Feb
2,2014,-75606.5,182489.555858816,-62101.310658501636,37.00522188386829,Nov-Feb
2,2015,-59199.5,220604.80504968,16645.44775888746,37.00522188386829,Nov-Feb
3,1990,-18741.23076923075,91155.163623628,-32132.311105384415,37.00522188386829,Nov-Feb
3,1991,-47578.23076923075,210110.502994592,-56542.0178903318,37.00522188386829,Nov-Feb
3,1992,-116770.23076923075,233534.31292806802,-3514.6770214272474,37.00522188386829,Nov-Feb
3,1993,156765.76923076925,183270.122620852,14254.102488450033,37.00522188386829,Nov-Feb
3,1994,-28139.23076923075,140354.307685604,-56823.69776391733,36.897438917229096,Nov-Feb
3,1995,110496.76923076925,106853.58093918,30743.445776189335,37.005221883868295,Nov-Feb
3,1996,18446.76923076925,139324.629132328,27386.20279863608,37.00522188386829,Nov-Feb
3,1997,177533.76923076925,112807.996851544,-27735.27911600097,37.00522188386829,Nov-Feb
3,1998,-88793.23076923075,235705.41328642398,-72606.30180433526,37.00522188386829,Nov-Feb
3,1999,-56365.23076923075,180702.412035292,-38773.97002357745,37.00522188386829,Nov-Feb
3,2000,-105784.23076923075,181802.91470298,-23215.128491240524,37.00522188386829,Nov-Feb
3,2001,-42019.23076923075,186492.693771012,-26721.73699078887,37.00522188386829,Nov-Feb
3,2002,102835.76923076925,206613.38127382,-23068.060458765605,37.00522188386829,Nov-Feb
3,2003,15456.769230769249,106197.92658694,-72818.68105129515,36.78965595058991,Nov-Feb
3,2004,64838.76923076925,91784.291493472,6591.863073363322,37.005221883868295,Nov-Feb
3,2005,-90447.23076923075,212994.882942816,-71579.26439111831,37.00522188386829,Nov-Feb
3,2006,-63075.23076923075,49913.078816452,66795.97555778784,37.00522188386829,Nov-Feb
3,2007,-129365.23076923075,209106.94214235598,-17112.108982439928,37.00522188386829,Nov-Feb
3,2008,97127.76923076925,187198.842816304,-56924.9673924497,37.00522188386829,Nov-Feb
3,2009,132352.76923076925,32559.182819948,13202.960372266734,37.00522188386829,Nov-Feb
3,2010,137516.76923076925,50263.399892008,-20242.443025919794,37.00522188386829,Nov-Feb
3,2011,115238.76923076925,45547.571278436,18249.18343134379,46.03575407864092,Nov-Feb
3,2012,-92408.23076923075,230333.25564768398,-71540.42078277585,37.00522188386829,Nov-Feb
3,2013,-135151.23076923075,138685.527562976,-77819.9489279096,36.897438917229096,Nov-Feb
3,2014,-100498.23076923075,239997.55994431602,-71808.1140158922,37.00522188386829,Nov-Feb
3,2015,-13474.230769230751,95291.401380656,-80907.92651499157,37.00522188386829,Nov-Feb
4,1990,-31086.346153846127,56906.271312831996,-75143.61642589161,36.89754333696993,Nov-Feb
4,1991,-20709.346153846127,228806.919515196,-53806.31705044942,36.78965595058991,Nov-Feb
4,1992,-64049.34615384613,152775.693839952,-67164.12720539405,36.897438917229096,Nov-Feb
4,1993,70880.65384615387,123396.946971668,7185.8739643371155,37.00522188386829,Nov-Feb
4,1994,671.653846153873,94040.087222836,-84131.55132314329,37.00522188386829,Nov-Feb
4,1995,38284.65384615387,184026.680290916,-13127.668739203462,36.78965595058991,Nov-Feb
4,1996,518.653846153873,199510.313118088,-59085.36939963527,36.78965595058992,Nov-Feb
4,1997,135525.65384615387,140772.297895716,-50586.33542193766,36.78965595058991,Nov-Feb
4,1998,-60608.34615384613,191080.82581034,-72214.25779318644,36.78965595058991,Nov-Feb
4,1999,-118259.34615384613,223754.283069548,-46341.03580941808,36.78965595058991,Nov-Feb
4,2000,-3164.346153846127,159305.367953292,-84190.3859743957,37.00522188386829,Nov-Feb
4,2001,-85077.34615384613,88455.235597488,-74929.81282342128,36.78965595058991,Nov-Feb
4,2002,132787.65384615387,127960.199135736,-65645.13486309521,36.897438917229096,Nov-Feb
4,2003,102563.65384615387,68376.07801234,-47846.64223696645,36.78965595058991,Nov-Feb
4,2004,-16468.346153846127,41995.261255652,-19830.00601797334,37.00522188386829,Nov-Feb
4,2005,-100384.34615384613,214041.400705464,-40254.59894085191,36.897438917229096,Nov-Feb
4,2006,-11563.346153846127,54056.939435108,54870.96424203718,36.95965218600789,Nov-Feb
4,2007,-118656.34615384613,214137.94212016,-50652.24798552136,36.78965595058991,Nov-Feb
4,2008,-12527.346153846127,144218.21443326,-78990.87893219708,36.78965595058991,Nov-Feb
4,2009,136855.65384615387,53738.958283016,13351.842542777515,37.00522188386829,Nov-Feb
4,2010,167371.65384615387,50641.939302304,-47310.98536814041,37.00522188386829,Nov-Feb
4,2011,59350.65384615387,144899.229111936,3095.7106284145484,36.85726014951577,Nov-Feb
4,2012,-69889.34615384613,239569.372303516,-71460.4495635905,36.897438917229096,Nov-Feb
4,2013,-118326.34615384613,94772.773435796,-70310.64557039298,36.78965595058991,Nov-Feb
4,2014,-63210.34615384613,125147.77138842401,-68536.52954673486,37.00522188386829,Nov-Feb
4,2015,49169.65384615387,52869.314143012,-84384,37.00522188386829,Nov-Feb
5,1990,-43805.34615384624,81955.232180548,-43406.84388718565,49.09290970083067,Nov-Feb
5,1991,-19663.346153846243,223535.692747228,-81573.30467664087,37.00522188386829,Nov-Feb
5,1992,-77166.34615384624,85722.032233108,-59603.31359932943,43.111634919522174,Nov-Feb
5,1993,-19032.346153846243,207457.452852796,-20527.558293832364,37.00522188386829,Nov-Feb
5,1994,29938.653846153757,150211.308764152,-77865.94648022395,36.8974389172291,Nov-Feb
5,1995,20667.653846153757,210324.146586536,-6807.69524017816,37.00522188386829,Nov-Feb
5,1996,-15410.346153846243,154928.64266250402,-65780.82150857845,40.826943267112235,Nov-Feb
5,1997,133307.65384615376,83838.901450712,2198.290553648003,37.00522188386829,Nov-Feb
5,1998,18329.653846153757,131176.119826456,-82539.80270178147,40.70474052141805,Nov-Feb
5,1999,-109541.34615384624,143576.849518772,-81113.94793112372,37.00522188386829,Nov-Feb
5,2000,-35943.34615384624,221780.116593136,-15435.83537604193,37.00522188386829,Nov-Feb
5,2001,-725.3461538462434,33280.041810752,-79329.30338440333,38.94131369226187,Nov-Feb
5,2002,4989.653846153757,54047.515400632,-42032.818445267534,38.83699364881699,Nov-Feb
5,2003,120707.65384615376,29310.901357684,-36871.57192115454,40.44640666251551,Nov-Feb
5,2004,-51616.34615384624,92194.91514704,-30625.50392921367,49.70637418889697,Nov-Feb
5,2005,-23047.346153846243,202348.978875792,-76746.1299760575,49.05264370018196,Nov-Feb
5,2006,91831.65384615376,110757.268883212,-11625.769668623994,37.00522188386829,Nov-Feb
5,2007,-86439.34615384624,171323.415617052,-77354.94879947283,37.00522188386829,Nov-Feb
5,2008,-35300.34615384624,194549.008304928,-70195.01578940678,37.00522188386829,Nov-Feb
5,2009,127645.65384615376,95537.010153408,18375.38686180264,37.00522188386829,Nov-Feb
5,2010,138036.65384615376,79680.290923556,-12759.40067893513,37.89471930432295,Nov-Feb
5,2011,30432.653846153757,140124.835681928,-42926.694065649615,38.94031369226188,Nov-Feb
5,2012,-67252.34615384624,238243.280222024,-81824.31821904793,37.00522188386829,Nov-Feb
5,2013,-85964.34615384624,81082.818311244,-69635.73799271787,37.932973142578604,Nov-Feb
5,2014,-11014.346153846243,152832.001349244,-77898.859453517,52.332194451353416,Nov-Feb
5,2015,-33965.34615384624,90277.283480688,-54973.85762662714,42.53546207339106,Nov-Feb
6,1990,-76729.5,112838.966949248,9857.386747322726,39.2419160505506,Nov-Feb
6,1991,-10604.5,188176.269959412,-80110.73644573461,37.00522188386829,Nov-Feb
6,1992,-79746.5,187359.966115224,8625.848169863435,37.00522188386829,Nov-Feb
6,1993,-39434.5,97927.43697552,-62372.44838052965,37.01758726010425,Nov-Feb
