Fuel,Location,id,OutputPower,ENTSOE,diff,abs_diff,label
Biomass,UK & Ireland,1990,7.630162425216452,18,NA,NA,NA
Biomass,UK & Ireland,1991,7.629564100675482,18,NA,NA,NA
Biomass,UK & Ireland,1992,7.628927761213686,18,NA,NA,NA
Biomass,UK & Ireland,1993,7.62468965557047,18,NA,NA,NA
Biomass,UK & Ireland,1994,7.624905919802136,18,NA,NA,NA
Biomass,UK & Ireland,1995,7.62494187387754,18,NA,NA,NA
Biomass,UK & Ireland,1996,7.6317169165993315,18,NA,NA,NA
Biomass,UK & Ireland,1997,7.631344780720791,18,NA,NA,NA
Biomass,UK & Ireland,1998,7.6144409293530995,18,NA,NA,NA
Biomass,UK & Ireland,1999,7.623079142251913,18,NA,NA,NA
Biomass,UK & Ireland,2000,7.626000117106227,18,NA,NA,NA
Biomass,UK & Ireland,2001,7.6273777119471,18,NA,NA,NA
Biomass,UK & Ireland,2002,7.628029144513034,18,NA,NA,NA
Biomass,UK & Ireland,2003,7.630196804736846,18,NA,NA,NA
Biomass,UK & Ireland,2004,7.626229219199367,18,NA,NA,NA
Biomass,UK & Ireland,2005,7.630562832793043,18,NA,NA,NA
Biomass,UK & Ireland,2006,7.6211960565729,18,NA,NA,NA
Biomass,UK & Ireland,2007,7.6216815418453034,18,NA,NA,NA
Biomass,UK & Ireland,2008,7.621605946908986,18,NA,NA,NA
Biomass,UK & Ireland,2009,7.6278382114609045,18,NA,NA,NA
Biomass,UK & Ireland,2010,7.6296918986279545,18,NA,NA,NA
Biomass,UK & Ireland,2011,7.624603743857682,18,NA,NA,NA
Biomass,UK & Ireland,2012,7.6300864826150825,18,NA,NA,NA
Biomass,UK & Ireland,2013,7.629985979305529,18,NA,NA,NA
Biomass,UK & Ireland,2014,7.6215726726394575,18,NA,NA,NA
Biomass,UK & Ireland,2015,7.629330258110624,18,0.5761483189938542,10.370669741889376,Biomass: 10.4 TWh
Biomass,CEE,1990,11.370536239374353,15.4,NA,NA,NA
Biomass,CEE,1991,11.370975840000002,15.4,NA,NA,NA
Biomass,CEE,1992,11.370831773318706,15.4,NA,NA,NA
Biomass,CEE,1993,11.369824722781416,15.4,NA,NA,NA
Biomass,CEE,1994,11.370672841383136,15.4,NA,NA,NA
Biomass,CEE,1995,11.369504090430578,15.4,NA,NA,NA
Biomass,CEE,1996,11.370679199837248,15.4,NA,NA,NA
Biomass,CEE,1997,11.370792471998145,15.4,NA,NA,NA
Biomass,CEE,1998,11.36964882974263,15.4,NA,NA,NA
Biomass,CEE,1999,11.36990698565009,15.4,NA,NA,NA
Biomass,CEE,2000,11.370528355410343,15.4,NA,NA,NA
Biomass,CEE,2001,11.367919580330016,15.4,NA,NA,NA
Biomass,CEE,2002,11.370087041134326,15.4,NA,NA,NA
Biomass,CEE,2003,11.370144078602118,15.4,NA,NA,NA
Biomass,CEE,2004,11.370165184000001,15.4,NA,NA,NA
Biomass,CEE,2005,11.370049699470663,15.4,NA,NA,NA
Biomass,CEE,2006,11.369788790901485,15.4,NA,NA,NA
Biomass,CEE,2007,11.369679418005532,15.4,NA,NA,NA
Biomass,CEE,2008,11.36950240642646,15.4,NA,NA,NA
Biomass,CEE,2009,11.370580836514616,15.4,NA,NA,NA
Biomass,CEE,2010,11.369295207050694,15.4,NA,NA,NA
Biomass,CEE,2011,11.370502863712229,15.4,NA,NA,NA
