h,n,id,Demand,rl,pump_in,pump_out,pump_net,rl_w_pumping,rrl,rrlwp
2016-06-08T02:00:00Z,LT,1998,760,468.57205,717.6868993069892,0,-717.6868993069892,1186.258949306989,1,4919
2016-02-23T02:00:00Z,LT,2008,882,474.91197999999997,311.3518373056771,0,-311.3518373056771,786.2638173056771,1,1053
2016-06-17T02:00:00Z,LT,1998,848,478.01299000000006,717.6868993069892,0,-717.6868993069892,1195.6998893069892,2,5039
2016-02-23T01:00:00Z,LT,2008,884,476.91197999999997,622.7036746113542,0,-622.7036746113542,1099.6156546113543,2,4017
2016-06-08T01:00:00Z,LT,1998,785,486.50204,717.6868993069892,0,-717.6868993069892,1204.1889393069891,3,5144
2016-02-23T03:00:00Z,LT,2008,896,487.64966,155.6759186528392,0,-155.6759186528392,643.3255786528391,3,501
2016-12-27T01:00:00Z,LT,1998,890,487.06032999999996,717.6868993069892,0,-717.6868993069892,1204.747229306989,4,5147
2016-06-24T03:00:00Z,LT,2008,829,492.13362,717.6122437887911,0,-717.6122437887911,1209.7458637887912,4,5454
2016-03-05T01:00:00Z,LT,1998,898,492.76474,743.1110000000001,0,-743.1110000000001,1235.8757400000002,5,5422
2016-06-24T02:00:00Z,LT,2008,838,503.8924,717.6122437887911,0,-717.6122437887911,1221.504643788791,5,5570
2016-03-05T02:00:00Z,LT,1998,897,495.28702,743.1110000000001,0,-743.1110000000001,1238.39802,6,5455
2016-02-23T00:00:00Z,LT,2008,915,506.98560000000003,717.6122437887911,0,-717.6122437887911,1224.5978437887911,6,5609
2016-06-17T01:00:00Z,LT,1998,868,499.66724000000005,717.6868993069892,0,-717.6868993069892,1217.3541393069893,7,5257
2016-02-25T02:00:00Z,LT,2008,925,524.7783900000001,84.83507228954096,0,-84.83507228954096,609.6134622895411,7,373
2016-12-27T02:00:00Z,LT,1998,876,502.2413,717.6868993069892,0,-717.6868993069892,1219.9281993069892,8,5278
2016-02-25T01:00:00Z,LT,2008,931,531.0634299999999,78.5500322895412,0,-78.5500322895412,609.6134622895411,8,372
2016-10-18T02:00:00Z,LT,1998,877,503.50089,717.6868993069892,0,-717.6868993069892,1221.187789306989,9,5287
2016-06-24T04:00:00Z,LT,2008,864,532.3978946302307,717.6122437887911,0,-717.6122437887911,1250.0101384190218,9,5850
2016-09-13T23:00:00Z,LT,1998,844,503.96254999999996,717.6868993069892,0,-717.6868993069892,1221.649449306989,10,5291
2016-01-26T01:00:00Z,LT,2008,941,533.36735,0,0,0,533.36735,10,170
2016-09-14T00:00:00Z,LT,1998,822,504.46035,717.6868993069892,0,-717.6868993069892,1222.1472493069891,11,5301
2016-11-16T02:00:00Z,LT,2008,917,534.1403799999999,0,0,0,534.1403799999999,11,171
2016-06-17T03:00:00Z,LT,1998,874,504.88847,717.6868993069892,0,-717.6868993069892,1222.5753693069892,12,5305
2016-01-26T02:00:00Z,LT,2008,943,535.3826200000001,0,0,0,535.3826200000001,12,174
2016-09-13T01:00:00Z,LT,1998,831,510.38599000000005,717.6868993069892,0,-717.6868993069892,1228.0728893069893,13,5351
2016-02-22T03:00:00Z,LT,2008,922,535.59774,717.6122437887911,0,-717.6122437887911,1253.2099837887913,13,5877
2016-03-05T00:00:00Z,LT,1998,919,510.67002,743.1110000000001,0,-743.1110000000001,1253.7810200000001,14,5574
2016-06-11T02:00:00Z,LT,2008,837,535.82979,717.6122437887911,0,-717.6122437887911,1253.4420337887912,14,5879
2016-09-13T02:00:00Z,LT,1998,828,511.68704,717.6868993069892,0,-717.6868993069892,1229.373939306989,15,5362
2016-06-24T01:00:00Z,LT,2008,869,538.27216,717.6122437887911,0,-717.6122437887911,1255.8844037887911,15,5903
2016-09-14T01:00:00Z,LT,1998,803,513.64368,717.6868993069892,0,-717.6868993069892,1231.3305793069892,16,5382
2016-11-16T03:00:00Z,LT,2008,924,540.20891,0,0,0,540.20891,16,181
2016-06-08T00:00:00Z,LT,1998,805,513.67894,717.6868993069892,0,-717.6868993069892,1231.365839306989,17,5383
2016-02-25T03:00:00Z,LT,2008,940,541.54462,68.06884228954124,0,-68.06884228954124,609.6134622895413,17,375
2016-02-28T02:00:00Z,LT,1998,922,514.9679699999999,0,0,0,514.9679699999999,18,291
2016-02-27T01:00:00Z,LT,2008,912,541.76358,743.1110000000001,0,-743.1110000000001,1284.8745800000002,18,6208
2016-12-27T00:00:00Z,LT,1998,926,515.55258,122.87733816731043,0,-122.87733816731043,638.4299181673105,19,723
2016-11-16T01:00:00Z,LT,2008,924,543.04913,0,0,0,543.04913,19,186
2016-10-18T03:00:00Z,LT,1998,891,515.65322,717.6868993069892,0,-717.6868993069892,1233.3401193069892,20,5403
2016-02-22T04:00:00Z,LT,2008,938,543.45883,717.6122437887911,0,-717.6122437887911,1261.0710737887912,20,5971
2016-09-13T00:00:00Z,LT,1998,841,516.2529099999999,717.6868993069892,0,-717.6868993069892,1233.939809306989,21,5408
2016-02-27T00:00:00Z,LT,2008,935,548.84715,743.1110000000001,0,-743.1110000000001,1291.9581500000002,21,6278
2016-06-17T00:00:00Z,LT,1998,882,516.68561,717.6868993069892,0,-717.6868993069892,1234.3725093069893,22,5413
2016-02-22T02:00:00Z,LT,2008,922,550.00244,717.6122437887911,0,-717.6122437887911,1267.6146837887911,22,6025
2016-02-28T03:00:00Z,LT,1998,924,517.12067,0,0,0,517.12067,23,297
2016-02-22T23:00:00Z,LT,2008,959,551.09249,648.8957620648271,0,-648.8957620648271,1199.988252064827,23,5357
2016-10-18T01:00:00Z,LT,1998,880,518.2893300000001,717.6868993069892,0,-717.6868993069892,1235.9762293069894,24,5423
