id,Fuel,e_Iberia,e_Northern,r_Iberia,r_Northern,rank_diff,label
1990,Hydro,44.85514083108655,234.67238464865693,6,4,2,
1991,Hydro,54.343915884513436,225.0806080352288,17,2,15,
1992,Hydro,40.091814769935,278.402448245282,3,17,-14,
1993,Hydro,47.59958686950367,288.1844216432649,9,23,-14,
1994,Hydro,49.96738773750555,246.59384470298335,13,6,7,
1995,Hydro,46.740856430464426,269.75645870300076,8,13,-5,
1996,Hydro,72.1811893638106,218.05645796185297,25,1,24,1996
1997,Hydro,64.96848649554143,264.31752888916134,21,12,9,
1998,Hydro,52.988054895839376,286.1356773804736,16,21,-5,
1999,Hydro,48.027531255405954,278.3006961167253,10,16,-6,
2000,Hydro,54.92337568875979,305.6299652281791,19,26,-7,
2001,Hydro,63.66715959832536,290.6074200210178,20,24,-4,
2002,Hydro,52.42052697049173,270.59896027878307,15,15,0,
2003,Hydro,66.05856887906374,255.75258451751597,22,10,12,
2004,Hydro,48.333885323986486,270.13375370462524,11,14,-3,
2005,Hydro,34.788658409353864,287.7195456011751,1,22,-21,2005
2006,Hydro,54.49927774074645,246.21775564215986,18,5,13,
2007,Hydro,44.49794490788941,285.23049539411267,4,20,-16,
2008,Hydro,45.25124656635762,263.22888228708143,7,11,-4,
2009,Hydro,49.86746767807424,253.34037681142775,12,9,3,
2010,Hydro,74.87075193537247,225.11651708977564,26,3,23,2010
2011,Hydro,50.18049105695346,282.6549237906098,14,19,-5,
2012,Hydro,35.263544046060694,281.17497288714776,2,18,-16,
2013,Hydro,67.92193248640072,250.80294547683116,23,7,16,
2014,Hydro,68.47997803472649,251.02035679550175,24,8,16,
2015,Hydro,44.54083954104461,290.9523533128987,5,25,-20,2015
