id,Fuel,e_British_Isles,e_Iberia,r_British_Isles,r_Iberia,rank_diff,label
1990,Wind,47.72863507298132,62.8734617766,26,8,18,
1991,Wind,39.9099185781759,64.87388050413999,6,12,-6,
1992,Wind,44.683799905216475,66.18194950368,22,15,7,
1993,Wind,42.33424105079011,64.46029119274,17,11,6,
1994,Wind,46.92102213527124,67.5871741222,25,18,7,
1995,Wind,43.61313236351001,71.44213359455999,19,23,-4,
1996,Wind,41.77945734074661,72.58863663948864,14,25,-11,
1997,Wind,39.017292348666636,62.78201426206,4,7,-3,
1998,Wind,45.68453450082206,65.64041066578,24,14,10,
1999,Wind,44.82348706235061,70.19552096342001,23,22,1,
2000,Wind,42.86470716328238,69.79685532721999,18,21,-3,
2001,Wind,38.46287224916068,71.7508961696,2,24,-22,2001
2002,Wind,41.49744885915735,68.9127270451,12,19,-7,
2003,Wind,38.985101464451716,67.05756682751999,3,16,-13,
2004,Wind,41.14387480028984,62.383478927060004,11,6,5,
2005,Wind,42.07141715075214,63.54148944646,16,10,6,
2006,Wind,40.86140551139945,60.99592105202,9,2,7,
2007,Wind,40.97173753776443,61.42392691806,10,3,7,
2008,Wind,44.28486071093231,63.086229701520004,20,9,11,
2009,Wind,40.83165849345802,65.02627587082,8,13,-5,
2010,Wind,33.51167663562416,68.91458944827615,1,20,-19,
2011,Wind,41.90771659717454,57.0535217638,15,1,14,
2012,Wind,39.12646436535659,61.78008385932,5,5,0,
2013,Wind,41.586872254377106,74.9267021337,13,26,-13,
2014,Wind,39.996647613177636,67.48468805954,7,17,-10,
2015,Wind,44.67643438156794,61.743084344319996,21,4,17,
