region,year,avg,clim,deviation,perc_deviation,type_deviation,sign_deviation
UK & Ireland,1990,0.09209282733756774,0.08993927919182375,0.0021535481457439914,2.394446747956334,Sp,1
CEE,1990,0.12746605113405834,0.12399559956925424,0.0034704515648041057,2.798850585714361,Sp,1
CWE,1990,0.120073551680805,0.1167266267084101,0.003346924972394902,2.867319194236389,Sp,1
Iberia,1990,0.1898686280217987,0.19062916527003504,-7.60537248236326e-4,-0.3989616421805078,Sm,-1
Italy,1990,0.14165363144210877,0.1393005535544745,0.0023530778876342806,1.6892092871074575,Sp,1
Northern,1990,0.08082325509033032,0.08234020130657946,-0.0015169462162491348,-1.8422911192566176,Sm,-1
SEE,1990,0.15799162776402362,0.15162009982338417,0.006371527940639443,4.202297682207943,Mp,1
UK & Ireland,1991,0.08944494608254001,0.08993927919182375,-4.943331092837344e-4,-0.5496298321775671,Sm,-1
CEE,1991,0.12359619833968143,0.12399559956925424,-3.9940122957281277e-4,-0.32210919658462434,Sm,-1
CWE,1991,0.12069597678925396,0.1167266267084101,0.00396935008084387,3.400552378472769,Mp,1
Iberia,1991,0.1915565959631329,0.19062916527003504,9.274306930978637e-4,0.4865103887876313,Sp,1
Italy,1991,0.1389197306852799,0.1393005535544745,-3.808228691945803e-4,-0.2733821650218043,Sm,-1
Northern,1991,0.0809598774185638,0.08234020130657946,-0.0013803238880156637,-1.6763669096171714,Sm,-1
SEE,1991,0.14796931980209685,0.15162009982338417,-0.0036507800212873254,-2.40784699755505,Sm,-1
UK & Ireland,1992,0.09083924434706965,0.08993927919182375,8.99965155245902e-4,1.0006363886088567,Sp,1
CEE,1992,0.13131988576018414,0.12399559956925424,0.007324286190929896,5.9068920319540235,Mp,1
CWE,1992,0.11760981877697678,0.1167266267084101,8.83192068566685e-4,0.7566329067085525,Sp,1
Iberia,1992,0.19480527791008356,0.19062916527003504,0.004176112640048524,2.190699746354587,Sp,1
Italy,1992,0.13926031857648094,0.1393005535544745,-4.023497799354736e-5,-0.02888357365917658,Sm,-1
Northern,1992,0.08369528808584442,0.08234020130657946,0.0013550867792649635,1.6457171075153592,Sp,1
SEE,1992,0.15885644695273135,0.15162009982338417,0.007236347129347176,4.772683264142742,Mp,1
UK & Ireland,1993,0.08423470876528442,0.08993927919182375,-0.005704570426539324,-6.342690844088862,Lm,-1
CEE,1993,0.12351291669135316,0.12399559956925424,-4.8268287790108333e-4,-0.38927419971181676,Sm,-1
CWE,1993,0.11335472955772283,0.1167266267084101,-0.003371897150687267,-2.88871292332508,Sm,-1
Iberia,1993,0.18764000556192287,0.19062916527003504,-0.0029891597081121712,-1.5680495184867898,Sm,-1
Italy,1993,0.14106001964108952,0.1393005535544745,0.0017594660866150358,1.26307185558095,Sp,1
Northern,1993,0.08047207434200783,0.08234020130657946,-0.0018681269645716286,-2.268790863913463,Sm,-1
SEE,1993,0.15700148094133676,0.15162009982338417,0.005381381117952583,3.549253116322391,Mp,1
UK & Ireland,1994,0.08647125106032705,0.08993927919182375,-0.0034680281314967004,-3.855966116984373,Mm,-1
CEE,1994,0.12545315398080292,0.12399559956925424,0.0014575544115486838,1.1754888210646603,Sp,1
CWE,1994,0.11301503445263379,0.1167266267084101,-0.0037115922557763026,-3.179730589703475,Mm,-1
Iberia,1994,0.19030204376844578,0.19062916527003504,-3.271215015892559e-4,-0.17160097256150345,Sm,-1
Italy,1994,0.1399645667427324,0.1393005535544745,6.640131882579003e-4,0.47667663287370443,Sp,1
Northern,1994,0.0834219721287739,0.08234020130657946,0.0010817708221944472,1.3137820955363726,Sp,1
SEE,1994,0.1542705110986789,0.15162009982338417,0.002650411275294723,1.7480606320547702,Sp,1
UK & Ireland,1995,0.09553250301081981,0.08993927919182375,0.00559322381899606,6.218888865082802,Lp,1
CEE,1995,0.11960513166377544,0.12399559956925424,-0.004390467905478798,-3.5408255782711278,Mm,-1
CWE,1995,0.11494582249501407,0.1167266267084101,-0.00178080421339602,-1.52561952967644,Sm,-1
Iberia,1995,0.19172597300154198,0.19062916527003504,0.0010968077315069436,0.5753619756731687,Sp,1
Italy,1995,0.13784351163306596,0.1393005535544745,-0.001457041921408525,-1.0459699435715009,Sm,-1
Northern,1995,0.08186718678972578,0.08234020130657946,-4.730145168536787e-4,-0.574463639082556,Sm,-1
SEE,1995,0.14770701327469266,0.15162009982338417,-0.003913086548691519,-2.580849473948182,Sm,-1
UK & Ireland,1996,0.08810720680169536,0.08993927919182375,-0.001832072390128392,-2.0370103102793635,Sm,-1
CEE,1996,0.11488866726912167,0.12399559956925424,-0.00910693230013257,-7.344560881006225,Lm,-1
CWE,1996,0.11283578749658944,0.1167266267084101,-0.0038908392118206514,-3.3332919159397916,Mm,-1
Iberia,1996,0.18574857902240244,0.19062916527003504,-0.004880586247632601,-2.560251596716077,Sm,-1
Italy,1996,0.12926888630405556,0.1393005535544745,-0.01003166725041893,-7.201455410222741,Lm,-1
Northern,1996,0.08282809061163379,0.08234020130657946,4.8788930505433425e-4,0.5925286765303901,Sp,1
SEE,1996,0.13866889158140766,0.15162009982338417,-0.012951208241976514,-8.541880830485422,Lm,-1
UK & Ireland,1997,0.08861991352396194,0.08993927919182375,-0.0013193656678618104,-1.4669515696783038,Sm,-1
CEE,1997,0.1267954599339871,0.12399559956925424,0.00279986036473287,2.258032038603989,Sp,1
CWE,1997,0.12160200446000859,0.1167266267084101,0.004875377751598492,4.176748604050273,Mp,1
Iberia,1997,0.18734761299345157,0.19062916527003504,-0.0032815522765834715,-1.721432432406133,Sm,-1
Italy,1997,0.14609337018599233,0.1393005535544745,0.006792816631517845,4.876374471018498,Mp,1
Northern,1997,0.08575015920972441,0.08234020130657946,0.003409957903144953,4.141303821262916,Mp,1
SEE,1997,0.15446830754331192,0.15162009982338417,0.002848207719927748,1.8785159245017673,Sp,1
UK & Ireland,1998,0.08517658215203651,0.08993927919182375,-0.004762697039787239,-5.2954583165263,Mm,-1
CEE,1998,0.12200368316587426,0.12399559956925424,-0.0019919164033799786,-1.6064412046069827,Sm,-1
CWE,1998,0.11075073168607981,0.1167266267084101,-0.005975895022330285,-5.119564567952794,Mm,-1
Iberia,1998,0.19481906660926723,0.19062916527003504,0.004189901339232194,2.197933004268788,Sp,1
Italy,1998,0.14485994112792613,0.1393005535544745,0.005559387573451646,3.99092999388377,Mp,1
Northern,1998,0.07593156969018697,0.08234020130657946,-0.006408631616392491,-7.783113855322095,Lm,-1
SEE,1998,0.15332340262311497,0.15162009982338417,0.0017033027997307992,1.123401713700825,Sp,1
UK & Ireland,1999,0.08964925455146189,0.08993927919182375,-2.900246403618606e-4,-0.3224671611424548,Sm,-1
CEE,1999,0.12141692902864677,0.12399559956925424,-0.0025786705406074667,-2.0796468177624505,Sm,-1
CWE,1999,0.11586701165236507,0.1167266267084101,-8.596150560450239e-4,-0.736434419708189,Sm,-1
Iberia,1999,0.1927214143224462,0.19062916527003504,0.0020922490524111492,1.0975492912888654,Sp,1
Italy,1999,0.13820934376006588,0.1393005535544745,-0.001091209794408604,-0.7833492161837524,Sm,-1
Northern,1999,0.08405012171111788,0.08234020130657946,0.0017099204045384203,2.076653174761898,Sp,1
SEE,1999,0.14959666888806908,0.15162009982338417,-0.002023430935315096,-1.3345400363620026,Sm,-1
UK & Ireland,2000,0.08968511698837714,0.08993927919182375,-2.54162203446609e-4,-0.28259310696111795,Sm,-1
CEE,2000,0.12926956953414764,0.12399559956925424,0.005273969964893405,4.253352524778735,Mp,1
CWE,2000,0.11324866967627878,0.1167266267084101,-0.0034779570321313152,-2.9795746953430378,Sm,-1
Iberia,2000,0.1905747501040824,0.19062916527003504,-5.441516595264262e-5,-0.028545037101516454,Sm,-1
Italy,2000,0.14146214677588717,0.1393005535544745,0.002161593221412683,1.55174776140956,Sp,1
Northern,2000,0.08108411335382625,0.08234020130657946,-0.0012560879527532126,-1.5254856471341223,Sm,-1
SEE,2000,0.1628302699786219,0.15162009982338417,0.01121017015523773,7.393591066287374,Lp,1
UK & Ireland,2001,0.09269418976558799,0.08993927919182375,0.0027549105737642438,3.063078332981224,Mp,1
CEE,2001,0.12018591072986268,0.12399559956925424,-0.0038096888393915618,-3.0724387418795196,Mm,-1
CWE,2001,0.11442294214187135,0.1167266267084101,-0.0023036845665387468,-1.9735724671402395,Sm,-1
Iberia,2001,0.18898020871236912,0.19062916527003504,-0.0016489565576659204,-0.8650074899767289,Sm,-1
Italy,2001,0.1413951702602115,0.1393005535544745,0.002094616705737018,1.5036671802728356,Sp,1
Northern,2001,0.0804373707579399,0.08234020130657946,-0.0019028305486395586,-2.3109374502919895,Sm,-1
SEE,2001,0.15161212677127248,0.15162009982338417,-7.973052111698298e-6,-0.005258571997370908,Sm,-1
UK & Ireland,2002,0.0886786840274707,0.08993927919182375,-0.0012605951643530483,-1.4016069237829152,Sm,-1
CEE,2002,0.12241577050615336,0.12399559956925424,-0.0015798290631008766,-1.2741009105073182,Sm,-1
CWE,2002,0.11437702965237595,0.1167266267084101,-0.0023495970560341445,-2.0129058144578913,Sm,-1
