month,year,demand_anom,inflow_anom
1,1990,-2.8451283355675883,-16.61675754649294
1,1991,-0.46220279104944617,-7.380284831048571
1,1992,-3.6759662990020154,51.759885336144094
1,1993,-2.593625778806294,12.269473936434993
1,1994,2.0883736379982203,-38.43805422832716
1,1995,0.8930481264686256,-12.14344511697243
1,1996,3.4042821736590048,-45.652817291849146
1,1997,2.2014488300544044,-23.667615590201546
1,1998,-0.9090636686719016,-12.030257110918724
1,1999,-0.04464132882824443,19.85447040552364
1,2000,-2.2974738482475976,35.42398790629812
1,2001,0.24029710122846637,31.205170987596226
1,2002,-0.5481648347613555,96.54233282162346
1,2003,1.5034597002556354,-41.948278378741406
1,2004,3.686693110094514,-31.12343198029021
1,2005,-4.406638558942745,43.94436557895501
1,2006,1.244168470601062,-10.122409112094461
1,2007,-3.378620376327508,27.58333843585136
1,2008,-3.6913908194893335,22.305442618917265
1,2009,0.41913567486429193,-3.7499292475258383
1,2010,5.907513088784561,-48.01153021863294
1,2011,1.973760007961957,-43.24981856466442
1,2012,0.69489546704104,13.786484325736515
1,2013,2.1494305283776045,-26.295206889277296
1,2014,0.7244882284090122,7.537620106755118
1,2015,-2.278077506104346,6.097161015093168
2,1990,-8.488291237217936,98.8025249956483
2,1991,2.79897199751653,-41.8967426466288
2,1992,-3.018710769036959,68.47100794364323
2,1993,-1.3891879746552915,41.26815883139581
2,1994,5.827606075514233,-45.934696155812624
2,1995,-3.003063458812664,-17.773796055351745
2,1996,5.004093758502038,-48.56400858925711
2,1997,-1.5584733953173306,-1.0182758678759858
2,1998,-3.4118022722682833,14.322681976563674
2,1999,0.7627202934187371,27.101842622512677
2,2000,-2.235700229654978,8.05707810256103
2,2001,1.0244752562011414,20.308556518695422
2,2002,-3.580990650286717,45.67288649407438
2,2003,2.208837276051236,-32.54011689602479
2,2004,0.007821761900529215,9.090711523406013
2,2005,1.2699462289324763,-2.142281712208449
2,2006,2.499038722301868,-2.7789340059965637
2,2007,2.4607896200911386,-4.478610968693858
2,2008,-5.145956764186203,22.68178472628377
2,2009,3.270748888665594,-34.69239377920835
2,2010,5.295128753267169,-54.72506923742679
2,2011,3.1193909321664144,-42.043528294462206
2,2012,1.391090237149321,-12.759011498067093
2,2013,2.291072403121132,-37.279274941759866
2,2014,-4.548097040516168,7.438622125857876
2,2015,-2.8514584128470144,21.190684906827755
12,1990,-0.8127647214723455,-3.461212977369492
12,1991,-1.7093245182450596,3.354825237220682
12,1992,-1.5877377667510628,25.939116110012392
12,1993,2.8538537132931565,-37.75529964752563
12,1994,-2.0219829739284303,5.393546427361237
12,1995,4.71723450490641,-35.348785590459336
12,1996,3.2365003652769517,-35.32510680552737
12,1997,1.9942993276724728,-19.50471711775001
12,1998,1.0469669726250357,23.98467175960281
12,1999,1.9035401739391715,10.574330423590842
12,2000,-3.427288180735885,44.029496656360386
12,2001,2.6567032420054786,4.071098650908251
12,2002,5.595620001704654,-62.91591259263837
12,2003,-1.7979355130891919,0.7760524546680695
12,2004,-2.010789726910956,28.11630194424572
12,2005,1.1516709509663237,-2.1036056919960107
12,2006,-8.772573535641866,54.804242942249424
12,2007,-2.090165936806583,23.979208883637416
12,2008,0.20748350354682535,-13.20012531742332
12,2009,2.5455827440533207,-28.610615108751112
12,2010,7.005194383073041,-67.15092105855804
12,2011,-3.6121979077308097,20.540299822561117
12,2012,5.4224187027207735,-35.699843645964755
12,2013,-5.36585809913134,27.484647977341815
12,2014,-0.8937315316395453,-12.792410859062175
12,2015,-6.464379134356114,53.0230277621228
