date,region,inflow_anom,demand_anom
1990-01-01,Northern,-45.48493674834101,4.960555077617868
1991-01-01,Northern,-9.289236755665705,1.7581092847899338
1992-01-01,Northern,29.888014247194658,-8.755889924384586
1993-01-01,Northern,18.432485180205493,-1.20431037225711
1994-01-01,Northern,-45.92583027216446,4.22789277577798
1995-01-01,Northern,1.3323574341962212,1.9766961929088374
1996-01-01,Northern,-55.16799332981462,6.924108689355428
1997-01-01,Northern,-49.01880707397408,6.759741277280239
1998-01-01,Northern,-33.76602652586491,-4.453984608630274
1999-01-01,Northern,26.695339345333604,-1.278260172018727
2000-01-01,Northern,28.063678869909037,1.6916942860544466
2001-01-01,Northern,3.4038521303530835,3.847657198222188
2002-01-01,Northern,-8.173643911263571,2.7293995119110153
2003-01-01,Northern,-57.82398470750935,7.236453379314944
2004-01-01,Northern,-8.321822632764327,6.657050483913783
2005-01-01,Northern,71.45646845459414,-5.2344967809041485
2006-01-01,Northern,-19.994225790219446,1.9150972525611787
2007-01-01,Northern,48.49524874134915,-11.20260294212767
2008-01-01,Northern,48.220521544651064,-0.5041953037156723
2009-01-01,Northern,-6.51568349663471,5.5499008032390735
2010-01-01,Northern,-28.77352074430482,7.26465062439212
2011-01-01,Northern,-57.65237774244338,1.1816581671103499
2012-01-01,Northern,42.66645372398328,-5.669806316475688
2013-01-01,Northern,9.633310482811035,-7.130547896850895
2014-01-01,Northern,35.85570964170115,-8.02113030679517
2015-01-01,Northern,31.67939962843501,-11.225440380289355
1990-02-01,Northern,24.148441148983895,-13.743199929391018
1991-02-01,Northern,-27.532669045424385,5.45486662244013
1992-02-01,Northern,155.54491105156222,-4.834747671271105
1993-02-01,Northern,68.86222701731892,-8.172640367703876
1994-02-01,Northern,-27.31543179793992,5.92356842954045
1995-02-01,Northern,-37.56085414734965,-5.736373116594485
1996-02-01,Northern,-51.524086324508765,7.672801300509757
1997-02-01,Northern,10.444723542269895,3.1659212431783472
1998-02-01,Northern,-26.04968008020121,4.4805935662374035
1999-02-01,Northern,32.75362214130062,-7.016904180463471
2000-02-01,Northern,-7.5242383974232245,-0.1977722678478301
2001-02-01,Northern,13.492155713359738,7.333259462537195
2002-02-01,Northern,33.55246388243439,-4.61376486349972
2003-02-01,Northern,-40.75254936375856,4.765337903729089
2004-02-01,Northern,-43.41181038448901,3.2960165892702302
2005-02-01,Northern,32.06282460932483,-6.07521342184398
2006-02-01,Northern,43.124451174207096,-1.2897469253679503
2007-02-01,Northern,11.232250032833633,-3.8820662333232945
2008-02-01,Northern,19.065907253902523,-7.267896999166792
2009-02-01,Northern,-24.653531132293182,6.6720258969905375
2010-02-01,Northern,-62.438563436384186,8.265362607274554
2011-02-01,Northern,-29.825320452896637,-6.010516515159573
2012-02-01,Northern,-9.16050492846309,9.204013390760684
2013-02-01,Northern,-42.9341800501365,2.040350963030544
2014-02-01,Northern,-22.928415668761428,1.4018782369439509
2015-02-01,Northern,-7.793686961265465,-0.8351537208096341
1990-12-01,Northern,-28.631612932586496,1.264585429123319
1991-12-01,Northern,9.994056109587651,-5.688593976426488
1992-12-01,Northern,-0.46647333743192887,-1.622148042369255
1993-12-01,Northern,-44.55290561276413,6.730782472419007
1994-12-01,Northern,19.595982742044917,-1.1776213930967643
1995-12-01,Northern,-12.896603626899472,2.517775164562315
1996-12-01,Northern,-45.00932187580623,3.1738428323415446
1997-12-01,Northern,-48.1754719195479,4.530389858096262
1998-12-01,Northern,47.449813658320465,0.9305959622445983
1999-12-01,Northern,25.04568060832243,-3.8424635520812003
2000-12-01,Northern,72.40957432319068,-10.69362349028349
2001-12-01,Northern,17.173668082238883,-0.32485440059029824
2002-12-01,Northern,-58.62163883007228,6.609802445005964
2003-12-01,Northern,13.445183666839448,-6.58300026709621
2004-12-01,Northern,-1.5190774920661319,-0.5178189379672221
2005-12-01,Northern,-3.4234541311943887,2.2195181952317706
2006-12-01,Northern,56.7265152003561,-12.11468258140874
2007-12-01,Northern,-4.8167645230148,-1.1663911795816289
2008-12-01,Northern,-20.311611575887113,-1.5566705682383075
2009-12-01,Northern,4.081804678418383,1.1842966948365292
2010-12-01,Northern,-60.81542903022721,9.76622167740291
2011-12-01,Northern,62.326310953680455,-8.546027004849051
2012-12-01,Northern,-20.715126952259308,6.073436059697812
2013-12-01,Northern,7.493466023336237,-3.337176867364474
2014-12-01,Northern,-23.48163789919615,2.507492956084166
2015-12-01,Northern,46.61976527321169,-2.6001394128354116
1990-01-02,Northern,-46.51438890898864,4.702495711334191
1991-01-02,Northern,-12.692380539748802,-1.9105975469625527
1992-01-02,Northern,36.14903955867109,-9.342651331941118
1993-01-02,Northern,36.3832478059702,-1.3752918586092122
1994-01-02,Northern,-46.37409538191252,4.360996077440842
1995-01-02,Northern,-5.373551712116349,3.5181996337162613
1996-01-02,Northern,-54.70240249700308,4.746009254596096
1997-01-02,Northern,-48.526203343680976,4.921325765929457
1998-01-02,Northern,-27.35694482481017,-2.653595010919231
1999-01-02,Northern,27.632864837702243,-1.8216398254134827
2000-01-02,Northern,36.21482982484761,-2.6875296342480612
2001-01-02,Northern,1.9360705723614287,0.08345141337048065
2002-01-02,Northern,-6.969081897988182,5.154932603987389
2003-01-02,Northern,-58.98587377327339,4.913603225828366
2004-01-02,Northern,-14.008057488644722,5.3912868841966715
2005-01-02,Northern,75.44258482568675,-4.9277345603033025
2006-01-02,Northern,-21.577154404023755,3.6053752306266267
2007-01-02,Northern,47.017330791750275,-6.377789974669274
2008-01-02,Northern,40.68772568315626,-0.2614639594137216
