m,id,region,hours
Oct,2010,SEE,0
Oct,2010,UK & Ireland,18
Oct,Rest,CEE,136
Oct,Rest,CWE,93
Oct,Rest,Iberia,9
Oct,Rest,Italy,478
Oct,Rest,Northern,207
Oct,Rest,SEE,1
Oct,Rest,UK & Ireland,530
Nov,1993,CEE,14
Nov,1993,CWE,213
Nov,1993,Iberia,0
Nov,1993,Italy,18
Nov,1993,Northern,11
Nov,1993,UK & Ireland,16
Nov,1998,CEE,24
Nov,1998,CWE,237
Nov,1998,Iberia,0
Nov,1998,Italy,23
Nov,1998,Northern,20
Nov,1998,UK & Ireland,19
Nov,2010,CEE,1
Nov,2010,CWE,138
Nov,2010,Iberia,0
Nov,2010,Italy,24
Nov,2010,Northern,0
Nov,2010,SEE,0
Nov,2010,UK & Ireland,18
Nov,Rest,CEE,129
Nov,Rest,CWE,450
Nov,Rest,Iberia,13
Nov,Rest,Italy,575
Nov,Rest,Northern,342
Nov,Rest,SEE,0
Nov,Rest,UK & Ireland,399
Dec,1993,CEE,1
Dec,1993,CWE,53
Dec,1993,Iberia,0
Dec,1993,Italy,17
Dec,1993,Northern,23
Dec,1993,UK & Ireland,9
Dec,1998,CEE,5
Dec,1998,CWE,136
Dec,1998,Iberia,0
Dec,1998,Italy,6
Dec,1998,Northern,17
Dec,1998,UK & Ireland,13
Dec,2010,CEE,4
Dec,2010,CWE,140
Dec,2010,Iberia,0
Dec,2010,Italy,8
Dec,2010,Northern,2
Dec,2010,SEE,0
Dec,2010,UK & Ireland,13
Dec,Rest,CEE,138
Dec,Rest,CWE,630
Dec,Rest,Iberia,3
Dec,Rest,Italy,373
Dec,Rest,Northern,321
Dec,Rest,SEE,0
Dec,Rest,UK & Ireland,358
