zone,w,Export,Import,net,r,n
Italy,45,4013.417015292819,165097.14209860162,-161.0837250833088,-5,26
Italy,46,5853.750869275787,155770.58788287026,-149.91683701359446,-5,26
Italy,47,13115.451626209655,143680.95997328,-130.56550834707033,-5,26
Italy,48,27948.03733053162,104732.41343892165,-76.78437610839003,-5,21
Italy,49,27326.672308691188,104398.03878388087,-77.07136647518969,-5,21
Italy,50,22358.406757077093,120214.55213231863,-97.85614537524152,-5,25
Italy,51,21332.95505481488,116644.16275800926,-95.31120770319438,-5,23
Italy,52,9857.657312817766,144584.56862835735,-134.72691131553958,-5,26
Northern,1,97932.1417645558,1743.2435886677508,96.18889817588804,-4,26
Northern,2,99465.8004228076,1632.3915052488746,97.83340891755873,-4,26
Northern,3,77840.16356196694,16624.135005695236,61.2160285562717,-4,23
Northern,4,52172.529877826564,43181.10928863435,8.991420589192218,-4,15
Northern,5,38835.53013662843,57415.80563452171,-18.58027549789328,-4,18
Northern,6,31441.483864057456,65112.21939907259,-33.67073553501513,-4,20
Northern,7,27838.075182395743,69136.51810980699,-41.29844292741125,-4,22
Northern,8,27425.815656410512,68322.55769738683,-40.896742040976314,-4,20
Northern,9,22597.110193662233,74410.28141136898,-51.81317121770675,-4,25
Northern,10,32992.30703351338,60354.58975144931,-27.36228271793593,-4,16
Northern,11,30884.582363365735,62100.5153731773,-31.215933009811568,-4,20
Northern,12,30764.44047472831,61212.41073623433,-30.447970261506015,-4,19
Northern,13,32240.026702412677,61770.24537318755,-29.53021867077487,-4,20
Northern,14,38721.804871888904,57575.17341945975,-18.85336854757085,-4,17
Northern,15,54872.983895739664,41399.89239372822,13.47309150201144,-4,21
Northern,16,63523.04692812902,31381.712612324216,32.141334315804805,-4,21
Northern,17,78859.45886605195,18976.449014416954,59.883009851634995,-4,22
Northern,18,88197.13686256346,10095.421562177555,78.10171530038592,-4,23
Northern,19,94623.39484669318,5937.663536679302,88.68573131001386,-4,25
Northern,20,98225.57506359575,3496.9033478689103,94.72867171572685,-4,26
Northern,21,102100.85157153197,1094.8444448449545,101.00600712668701,-4,26
Northern,22,102757.50929058173,172.42902849678183,102.58508026208494,-4,26
Northern,23,101248.59624964409,282.21089252896735,100.96638535711513,-4,26
Northern,24,100903.49002184905,107.91473206579248,100.79557528978326,-4,26
Northern,25,101394.17346233349,185.3581466222728,101.20881531571122,-4,26
Northern,26,100935.03146087345,420.8980140178685,100.51413344685557,-4,26
Northern,27,101990.50908668134,738.9385249712553,101.2515705617101,-4,26
Northern,28,104318.41340762618,246.57777823855025,104.07183562938762,-4,26
Northern,29,104825.21193333787,152.91787653277188,104.6722940568051,-4,26
Northern,30,103779.99346834567,602.7763881880961,103.17721708015758,-4,26
Northern,31,101464.23427804974,1330.34603323909,100.13388824481065,-4,26
Northern,32,99751.60811270696,1860.4069178208083,97.89120119488615,-4,26
Northern,33,98204.76415124533,2789.763783745479,95.41500036749984,-4,26
Northern,34,97893.44441420997,3439.6783734084847,94.45376604080148,-4,26
Northern,35,97605.94264800403,4343.115274301841,93.26282737370218,-4,26
Northern,36,97155.38640013871,4513.48160618215,92.64190479395657,-4,26
Northern,37,95895.46518821373,4979.074423045105,90.91639076516861,-4,26
Northern,38,97127.77118853109,4776.952774021353,92.35081841450973,-4,26
Northern,39,96021.91981706631,5236.713318212295,90.78520649885402,-4,26
Northern,40,89129.78435859327,10211.98456486655,78.91779979372672,-4,26
Northern,41,89401.19905646957,10089.59405889753,79.31160499757203,-4,26
Northern,42,86251.44384400819,12112.415925189678,74.13902791881851,-4,26
Northern,43,81156.23646073109,17490.27401174321,63.66596244898788,-4,24
Northern,44,76854.90279680018,20327.38352936786,56.52751926743232,-4,23
Northern,45,75795.62576607653,20709.32247251112,55.08630329356541,-4,23
Northern,46,75411.49306417686,21326.854964428403,54.08463809974845,-4,22
Northern,47,72241.2110607433,24001.56842310502,48.239642637638276,-4,22
Northern,48,74391.40586932449,23010.647258167704,51.38075861115678,-4,24
Northern,49,67905.26725296177,27924.699589450647,39.980567663511124,-4,22
Northern,50,65550.2888339712,30723.210891099607,34.82707794287159,-4,20
Northern,51,66913.53066515134,29360.497062030765,37.553033603120575,-4,22
Northern,52,57586.29307631768,35042.62266726149,22.54367040905619,-4,15
SEE,1,26756.62145195865,34744.38390835908,-7.9877624564004295,-3,19
SEE,2,35242.369776060295,32290.699932824722,2.9516698432355732,-3,15
SEE,3,41599.85324579285,27112.470162120397,14.487383083672455,-3,22
SEE,4,66843.69132527515,12775.10756002529,54.06858376524987,-3,26
SEE,5,70683.98266082877,10405.514833709618,60.27846782711915,-3,26
SEE,6,74553.92371800481,9421.602709005674,65.13232100899913,-3,26
SEE,7,64574.67919042932,10666.355526810907,53.90832366361842,-3,26
SEE,8,59414.298262760465,16411.665681282542,43.002632581477926,-3,26
SEE,9,59703.96535558787,17471.784856808525,42.23218049877934,-3,26
SEE,10,63721.15163970515,13809.331187767595,49.91182045193756,-3,26
SEE,11,62334.86604716138,15658.5942815757,46.676271765585675,-3,26
SEE,12,60706.45274990123,17456.034509431563,43.25041824046967,-3,26
SEE,13,67584.013598153,15376.17449912255,52.20783909903045,-3,26
SEE,14,59587.22214355879,16792.2803971222,42.7949417464366,-3,26
SEE,15,75098.24618266628,15757.374546973733,59.340871635692544,-3,26
SEE,16,72020.57943600223,16596.591464066005,55.42398797193622,-3,26
SEE,17,66566.11367360855,15039.350329974033,51.526763343634514,-3,26
SEE,18,68481.10367523498,12891.957210042463,55.58914646519251,-3,26
SEE,19,71037.29535105379,10200.610052007369,60.83668529904642,-3,26
SEE,20,59124.04098983948,12368.790566021948,46.75525042381753,-3,26
SEE,21,60071.25322354983,12163.014341295599,47.908238882254224,-3,26
SEE,22,66187.5046397379,12212.87449355701,53.97463014618089,-3,26
SEE,23,63502.445336831675,11497.0370739025,52.00540826292917,-3,26
SEE,24,64217.5927077289,10146.69986269216,54.07089284503674,-3,26
SEE,25,62196.63807546228,10427.042004224277,51.769596071238006,-3,26
SEE,26,60272.53644946704,12189.546616813854,48.08298983265319,-3,26
SEE,27,56568.714039173625,20930.083094090853,35.63863094508277,-3,26
SEE,28,53609.32778867153,22114.59657640126,31.494731212270267,-3,26
SEE,29,55898.23193431885,20927.92855418519,34.97030338013366,-3,26
SEE,30,55102.369469747275,19447.604693560865,35.654764776186404,-3,26
SEE,31,52417.59072169399,18122.11071809959,34.2954800035944,-3,26
SEE,32,54538.81323825757,18266.92152505365,36.27189171320392,-3,26
SEE,33,57024.54422409244,17633.454989152644,39.39108923493979,-3,26
SEE,34,62019.03738663751,18036.953587213644,43.98208379942387,-3,26
SEE,35,64195.67245969955,17875.351848644455,46.320320611055095,-3,26
SEE,36,62071.53794304579,16593.747722206528,45.47779022083926,-3,26
SEE,37,66717.95137879958,16221.91188841854,50.496039490381044,-3,26
SEE,38,68799.9996659833,16289.990203158135,52.51000946282516,-3,26
SEE,39,69958.78543116953,14831.47711267759,55.127308318491934,-3,26
SEE,40,66266.42450582402,22172.838475823748,44.09358603000027,-3,26
SEE,41,71927.9390570927,19333.537131689962,52.59440192540274,-3,26
SEE,42,77444.74315194994,11486.145642966874,65.95859750898306,-3,26
SEE,43,71016.15000096074,14538.355582097854,56.47779441886289,-3,26
SEE,44,62502.126995355975,17472.550015486453,45.029576979869525,-3,26
SEE,45,57793.452495340476,16997.344086771045,40.79610840856943,-3,26
SEE,46,56544.10673030333,18941.846367899245,37.60226036240408,-3,26
SEE,47,56064.171970135336,18901.368734458774,37.16280323567656,-3,26
SEE,48,64938.48820092221,17979.534461917767,46.95895373900444,-3,26
SEE,49,49240.48970393582,21662.552233416925,27.577937470518894,-3,26
SEE,50,42903.60224159636,25039.302739237435,17.864299502358925,-3,25
SEE,51,37026.65550461587,28358.08115197197,8.6685743526439,-3,21
SEE,52,22938.369030620735,37696.93663772872,-14.758567607107986,-3,23
