h,cvres,avg,sd,smoothed_cv
2016-01-01T18:00:00Z,0.37890279567405705,18578.501315053654,7039.446087707974,NA
2016-01-01T19:00:00Z,0.34882814473404644,20091.670415384615,7008.540115606544,NA
2016-01-01T20:00:00Z,0.3351197627589536,20955.362066153848,7022.555964137454,NA
2016-01-02T18:00:00Z,0.2513497268404376,24896.9485581209,6257.841219244115,NA
2016-01-02T19:00:00Z,0.23478027359902437,25727.85317846154,6040.39240835473,NA
2016-01-02T20:00:00Z,0.2292219152196524,26013.48476153846,5962.86079857709,NA
2016-01-03T18:00:00Z,0.21592433894117596,26445.624183028038,5710.253919607106,NA
2016-01-03T19:00:00Z,0.20878505788403084,27692.591087692308,5781.799233202635,NA
2016-01-03T20:00:00Z,0.20738601299154746,28256.52327692308,5860.007703403933,NA
2016-01-04T18:00:00Z,0.19984043581841668,24967.345585900483,4989.485223115374,NA
2016-01-04T19:00:00Z,0.19179023801054146,26489.520583076923,5080.4314574134605,NA
2016-01-04T20:00:00Z,0.18997544417016976,27488.666643076926,5222.171655164269,NA
2016-01-05T18:00:00Z,0.2766212525635369,24101.12130742859,6666.882364246646,NA
2016-01-05T19:00:00Z,0.2738283899781433,24201.492298461537,6627.0556711561585,NA
2016-01-05T20:00:00Z,0.2725122010128859,24188.422853846154,6591.640350932008,NA
2016-01-06T18:00:00Z,0.32746190503331085,21110.90282676836,6913.016456626675,NA
2016-01-06T19:00:00Z,0.3004293724125862,22877.79347846154,6873.161136918959,NA
2016-01-06T20:00:00Z,0.2841799558673329,23868.291695384614,6782.890080623029,NA
2016-01-07T18:00:00Z,0.17892677277913693,31485.063772605987,5633.520851577708,NA
2016-01-07T19:00:00Z,0.17244791003832163,32595.721749230768,5621.064091845512,NA
2016-01-07T20:00:00Z,0.17219418746509166,32617.730415384616,5616.583585832561,NA
2016-01-08T18:00:00Z,0.24062496330013336,30828.961917517627,7418.217829983887,NA
2016-01-08T19:00:00Z,0.23115527892519053,32088.008907692307,7417.312649211614,NA
2016-01-08T20:00:00Z,0.2290180816449937,32096.90739076923,7350.77215737099,NA
2016-01-09T18:00:00Z,0.2204631117121377,30080.37228329621,6631.612475035023,NA
2016-01-09T19:00:00Z,0.21067460239974736,31219.55032923077,6577.166352709594,NA
2016-01-09T20:00:00Z,0.2110282568159221,31181.159655384618,6580.105767574774,NA
2016-01-10T18:00:00Z,0.22247567091894022,26701.333834517143,5940.397159264801,NA
2016-01-10T19:00:00Z,0.20665079456976754,28097.768101538462,5806.426103819992,NA
2016-01-10T20:00:00Z,0.19912301023776321,28598.619323076924,5694.643168254938,NA
2016-01-11T18:00:00Z,0.2591622552805613,24646.740480226916,6387.5048481703125,NA
2016-01-11T19:00:00Z,0.23682293201736318,26768.620487692308,6339.423189955352,NA
2016-01-11T20:00:00Z,0.22484616784629063,27634.830336923078,6213.585700339571,NA
2016-01-12T18:00:00Z,0.18508398450145985,31895.962494228148,5903.431827940867,NA
2016-01-12T19:00:00Z,0.18175040971425052,33234.51816,6040.3872922356995,NA
2016-01-12T20:00:00Z,0.17693443478980625,33284.04077692308,5889.092942385749,NA
2016-01-13T18:00:00Z,0.16766969888912836,31422.337863166755,5268.573927909626,NA
2016-01-13T19:00:00Z,0.16396972904213802,33092.96757384615,5426.244926283813,NA
2016-01-13T20:00:00Z,0.16814461429435715,32965.16806,5542.915468597363,NA
2016-01-14T18:00:00Z,0.16236517819692442,33031.709064517105,5363.199328409283,NA
2016-01-14T19:00:00Z,0.15287954636738516,34745.48415538461,5311.873855990368,NA
2016-01-14T20:00:00Z,0.14740527303349238,34856.207666153845,5137.988807941518,NA
2016-01-15T18:00:00Z,0.19088305657574164,32734.33702945565,6248.430307162978,NA
2016-01-15T19:00:00Z,0.17971087133811728,34185.77263076923,6143.5549868422995,NA
2016-01-15T20:00:00Z,0.1785236854141003,33884.278990769235,6049.146363031695,NA
2016-01-16T18:00:00Z,0.19546333837791738,28844.15424576048,5637.974681563923,NA
2016-01-16T19:00:00Z,0.18678845687829487,30183.562815384616,5637.9411213747735,NA
2016-01-16T20:00:00Z,0.18588360372091653,29877.746612307692,5553.783211356159,NA
